"source","rowId","owner","claimRisk","blockedReason","allowedBoundary","evidenceNeeded"
"c2-1902","buddy/CompanionSprite.tsx","V20-OGR-09-dsxu-engine-mainline","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","buddy/prompt.ts","V20-OGR-09-dsxu-engine-mainline","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","buddy/sprites.ts","V20-OGR-09-dsxu-engine-mainline","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","buddy/types.ts","V20-OGR-12-shared-platform-utilities","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","buddy/useBuddyNotification.tsx","V20-OGR-09-dsxu-engine-mainline","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/exit.ts","V20-OGR-08-cli-command-transport","P3","NOT_CLAIMABLE_UNTIL_OWNER_DECISION_CLOSED; C2_REVIEW_CANDIDATE_MAPPED_TO_NAMED_OWNER","claim DSXU-owned generic mechanism only with owner/test/live evidence.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/handlers/auth.ts","V20-OGR-08-cli-command-transport","P0","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/handlers/autoMode.ts","V20-OGR-08-cli-command-transport","P3","NOT_CLAIMABLE_UNTIL_OWNER_DECISION_CLOSED; C2_REVIEW_CANDIDATE_MAPPED_TO_NAMED_OWNER","claim DSXU-owned generic mechanism only with owner/test/live evidence.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/handlers/mcp.tsx","V20-OGR-04-mcp-skill-plugin-registry","P0","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/handlers/util.tsx","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/ndjsonSafeStringify.ts","V20-OGR-08-cli-command-transport","P3","NOT_CLAIMABLE_UNTIL_OWNER_DECISION_CLOSED; C2_REVIEW_CANDIDATE_MAPPED_TO_NAMED_OWNER","claim DSXU-owned generic mechanism only with owner/test/live evidence.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/print.ts","V20-OGR-08-cli-command-transport","P0","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/remoteIO.ts","V20-OGR-04-mcp-skill-plugin-registry","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/structuredIO.ts","V20-OGR-08-cli-command-transport","P0","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/transports/ccrClient.ts","V20-OGR-08-cli-command-transport","P0","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/transports/HybridTransport.ts","V20-OGR-08-cli-command-transport","P3","NOT_CLAIMABLE_UNTIL_OWNER_DECISION_CLOSED; C2_REVIEW_CANDIDATE_MAPPED_TO_NAMED_OWNER","claim DSXU-owned generic mechanism only with owner/test/live evidence.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/transports/SerialBatchEventUploader.ts","V20-OGR-08-cli-command-transport","P3","NOT_CLAIMABLE_UNTIL_OWNER_DECISION_CLOSED; C2_REVIEW_CANDIDATE_MAPPED_TO_NAMED_OWNER","claim DSXU-owned generic mechanism only with owner/test/live evidence.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/transports/SSETransport.ts","V20-OGR-08-cli-command-transport","P0","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/transports/transportUtils.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_AS_FEATURE_UNTIL_IMPORT_USE_OR_NO_LOSS_PROVEN; C2_SHARED_UTILITY_BASELINE_PRESENT_NO_NEW_ABSORPTION","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/transports/WebSocketTransport.ts","V20-OGR-08-cli-command-transport","P3","NOT_CLAIMABLE_UNTIL_OWNER_DECISION_CLOSED; C2_REVIEW_CANDIDATE_MAPPED_TO_NAMED_OWNER","claim DSXU-owned generic mechanism only with owner/test/live evidence.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/transports/WorkerStateUploader.ts","V20-OGR-08-cli-command-transport","P3","NOT_CLAIMABLE_UNTIL_OWNER_DECISION_CLOSED; C2_REVIEW_CANDIDATE_MAPPED_TO_NAMED_OWNER","claim DSXU-owned generic mechanism only with owner/test/live evidence.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","cli/update.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands.ts","V20-OGR-10-entry-query-tool-composition","P0","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/add-dir/add-dir.tsx","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/branch/branch.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/bridge/bridge.tsx","V20-OGR-04-mcp-skill-plugin-registry","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/brief.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/btw/btw.tsx","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/chrome/chrome.tsx","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/chrome/index.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/commit-push-pr.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/cost/cost.ts","V20-OGR-07-provider-migration-model-cost","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/cost/index.ts","V20-OGR-07-provider-migration-model-cost","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/createMovedToPluginCommand.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/extra-usage/extra-usage-core.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/extra-usage/index.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/feedback/index.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/init.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/init-verifiers.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/install-github-app/ApiKeyStep.tsx","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/install-github-app/CheckExistingSecretStep.tsx","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/install-github-app/ExistingWorkflowStep.tsx","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/install-github-app/install-github-app.tsx","V20-OGR-08-cli-command-transport","P0","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/install-github-app/OAuthFlowStep.tsx","V20-OGR-04-mcp-skill-plugin-registry","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/install-github-app/setupGitHubActions.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/install-github-app/SuccessStep.tsx","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/login/index.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/login/login.tsx","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/logout/index.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/logout/logout.tsx","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/mobile/mobile.tsx","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/passes/index.ts","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
"c2-1902","commands/passes/passes.tsx","V20-OGR-08-cli-command-transport","P1","NOT_CLAIMABLE_UNTIL_GENERIC_MECHANISM_REVIEWED; C2_PRODUCT_SPECIFIC_REFERENCE_EXCLUDED_OR_ADAPTED","do not claim as reference feature parity.","Named DSXU owner, source/test/live evidence, no reference-product parity wording, and release claim binder approval."
