"path","ext","kind","bytes","lines","reasonixMechanisms","performanceVectors","dsxuAbsorptionOwner","absorptionDecision"
"benchmarks/spike-mcp-reconnect/results.md",".md","benchmark-evidence","2988","64","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/spike-mcp-reconnect/runner.ts",".ts","benchmark-evidence","6732","183","cache-first-loop;tool-result-budget;visible-work-state;parallel-safe-dispatch;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;ui-latency-risk;latency-positive-ordering-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/spike-tdd-kernel/bench-latency.mjs",".mjs","benchmark-evidence","2411","76","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/spike-tdd-kernel/cost.mjs",".mjs","benchmark-evidence","5991","155","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/spike-tdd-kernel/cost-results.json",".json","benchmark-evidence","2472","106","cache-first-loop;tool-result-budget;tool-call-repair;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/spike-tdd-kernel/cost-results.md",".md","benchmark-evidence","4430","78","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/spike-tdd-kernel/latency.json",".json","benchmark-evidence","4103","176","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/spike-tdd-kernel/latency.md",".md","benchmark-evidence","2144","37","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;parallel-safe-dispatch;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;latency-positive-ordering-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/spike-tdd-kernel/tdd-eval.json",".json","benchmark-evidence","22905","387","cache-first-loop;tool-result-budget;tool-call-repair;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/spike-tdd-kernel/tdd-eval.md",".md","benchmark-evidence","4634","82","tool-result-budget;tool-call-repair;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/spike-tdd-kernel/tdd-eval.mjs",".mjs","benchmark-evidence","9067","191","tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/spike-tdd-kernel/test-id-spec.md",".md","benchmark-evidence","3956","95","cache-first-loop;tool-call-repair;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;quality-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/spike-tdd-kernel/work-estimate.md",".md","benchmark-evidence","5830","87","cache-first-loop;tool-call-repair;visible-work-state;permission-tool-gate;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;quality-positive-latency-risk;ui-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/baseline.ts",".ts","benchmark-evidence","5190","145","cache-first-loop;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/db.ts",".ts","benchmark-evidence","1101","31","cache-first-loop;tool-call-repair;context-recovery;evidence-release-claim","token-cache-positive;quality-positive-latency-risk;memory-io-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/report.md",".md","benchmark-evidence","5389","101","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;permission-tool-gate;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;safety-positive-latency-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/report.ts",".ts","benchmark-evidence","6923","219","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;permission-tool-gate;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/results.json",".json","benchmark-evidence","33432","684","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;permission-tool-gate;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/runner.ts",".ts","benchmark-evidence","13736","445","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;permission-tool-gate;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/tasks.ts",".ts","benchmark-evidence","10703","324","visible-work-state;permission-tool-gate;context-recovery;mcp-skill-agent-envelope;evidence-release-claim","ui-latency-risk;safety-positive-latency-risk;memory-io-risk;integration-risk;observability-io-risk","TUI / work-state timeline owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/mcp-demo.add.jsonl",".jsonl","benchmark-evidence","1123","7","cache-first-loop;tool-result-budget;tool-call-repair;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/mcp-filesystem.jsonl",".jsonl","benchmark-evidence","6388","25","cache-first-loop;tool-result-budget;tool-call-repair;permission-tool-gate;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/mcp-multi-server.jsonl",".jsonl","benchmark-evidence","3727","13","cache-first-loop;tool-result-budget;tool-call-repair;permission-tool-gate;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/README.md",".md","benchmark-evidence","2876","58","cache-first-loop;tool-result-budget;tool-call-repair;permission-tool-gate;parallel-safe-dispatch;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;safety-positive-latency-risk;latency-positive-ordering-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t01_address_happy.baseline.r1.jsonl",".jsonl","benchmark-evidence","11054","40","cache-first-loop;tool-result-budget;tool-call-repair;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t01_address_happy.baseline.r2.jsonl",".jsonl","benchmark-evidence","7071","27","cache-first-loop;tool-result-budget;tool-call-repair;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t01_address_happy.baseline.r3.jsonl",".jsonl","benchmark-evidence","6634","25","cache-first-loop;tool-result-budget;tool-call-repair;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t01_address_happy.diff.md",".md","benchmark-evidence","1585","46","cache-first-loop;tool-call-repair;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;quality-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t01_address_happy.reasonix.r1.jsonl",".jsonl","benchmark-evidence","11311","43","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t01_address_happy.reasonix.r2.jsonl",".jsonl","benchmark-evidence","6622","30","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t01_address_happy.reasonix.r3.jsonl",".jsonl","benchmark-evidence","7479","33","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t02_address_not_allowed.baseline.r1.jsonl",".jsonl","benchmark-evidence","17474","41","cache-first-loop;tool-result-budget;tool-call-repair;permission-tool-gate;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t02_address_not_allowed.baseline.r2.jsonl",".jsonl","benchmark-evidence","16299","41","cache-first-loop;tool-result-budget;tool-call-repair;permission-tool-gate;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t02_address_not_allowed.baseline.r3.jsonl",".jsonl","benchmark-evidence","16753","43","cache-first-loop;tool-result-budget;tool-call-repair;permission-tool-gate;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t02_address_not_allowed.reasonix.r1.jsonl",".jsonl","benchmark-evidence","17700","45","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;permission-tool-gate;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t02_address_not_allowed.reasonix.r2.jsonl",".jsonl","benchmark-evidence","16013","41","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;permission-tool-gate;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t02_address_not_allowed.reasonix.r3.jsonl",".jsonl","benchmark-evidence","13842","38","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;permission-tool-gate;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t03_cancel_processing.baseline.r1.jsonl",".jsonl","benchmark-evidence","6311","23","cache-first-loop;tool-result-budget;tool-call-repair;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t03_cancel_processing.baseline.r2.jsonl",".jsonl","benchmark-evidence","6114","23","cache-first-loop;tool-result-budget;tool-call-repair;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t03_cancel_processing.baseline.r3.jsonl",".jsonl","benchmark-evidence","6356","24","cache-first-loop;tool-result-budget;tool-call-repair;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t03_cancel_processing.reasonix.r1.jsonl",".jsonl","benchmark-evidence","6640","30","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t03_cancel_processing.reasonix.r2.jsonl",".jsonl","benchmark-evidence","7620","33","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t03_cancel_processing.reasonix.r3.jsonl",".jsonl","benchmark-evidence","7069","30","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t04_refund_delivered.baseline.r1.jsonl",".jsonl","benchmark-evidence","7809","27","cache-first-loop;tool-result-budget;tool-call-repair;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t04_refund_delivered.baseline.r2.jsonl",".jsonl","benchmark-evidence","7751","27","cache-first-loop;tool-result-budget;tool-call-repair;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t04_refund_delivered.baseline.r3.jsonl",".jsonl","benchmark-evidence","7384","25","cache-first-loop;tool-result-budget;tool-call-repair;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t04_refund_delivered.reasonix.r1.jsonl",".jsonl","benchmark-evidence","8141","33","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t04_refund_delivered.reasonix.r2.jsonl",".jsonl","benchmark-evidence","7095","30","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t04_refund_delivered.reasonix.r3.jsonl",".jsonl","benchmark-evidence","7238","30","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t05_refund_not_delivered.baseline.r1.jsonl",".jsonl","benchmark-evidence","15131","42","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t05_refund_not_delivered.baseline.r2.jsonl",".jsonl","benchmark-evidence","16705","44","cache-first-loop;tool-result-budget;tool-call-repair;permission-tool-gate;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t05_refund_not_delivered.baseline.r3.jsonl",".jsonl","benchmark-evidence","15746","42","cache-first-loop;tool-result-budget;tool-call-repair;permission-tool-gate;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;integration-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
"benchmarks/tau-bench/transcripts/t05_refund_not_delivered.reasonix.r1.jsonl",".jsonl","benchmark-evidence","15232","38","cache-first-loop;tool-result-budget;tool-call-repair;visible-work-state;permission-tool-gate;context-recovery;deepseek-route-cost-control;evidence-release-claim","token-cache-positive;memory-positive;quality-positive-latency-risk;ui-latency-risk;safety-positive-latency-risk;memory-io-risk;cost-positive-routing-risk;observability-io-risk","DeepSeek route / cost / cache owner","use-as-benchmark-method-pattern-not-result-claim"
