"path","line","term","ownerClass","disposition","releaseAction"
"src/dsxu/engine/__tests__/api-service.test.ts","64","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","64","OLLAMA","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","66","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","66","OPENAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","67","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","67","OLLAMA","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","102","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","105","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","139","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","144","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","158","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","158","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","163","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","165","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","192","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","203","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","233","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/api-service.test.ts","331","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/llm-adapter-owner-v1.test.ts","7","OPENAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/llm-adapter-owner-v1.test.ts","8","OLLAMA","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/llm-adapter-owner-v1.test.ts","11","OPENAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/llm-adapter-owner-v1.test.ts","12","OLLAMA","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/llm-adapter-owner-v1.test.ts","40","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/llm-adapter-owner-v1.test.ts","40","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/llm-adapter-owner-v1.test.ts","41","OPENAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/llm-adapter-owner-v1.test.ts","42","OLLAMA","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/llm-adapter-owner-v1.test.ts","54","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/llm-adapter-owner-v1.test.ts","55","OPENAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/llm-adapter-owner-v1.test.ts","56","OPENAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/provider-contract-v1.test.ts","456","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/provider-contract-v1.test.ts","457","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/provider-contract-v1.test.ts","459","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/provider-contract-v1.test.ts","459","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/provider-contract-v1.test.ts","467","OLLAMA","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/provider-contract-v1.test.ts","467","OPENAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/__tests__/wave5-doctor.test.ts","119","OpenAI","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/engine/api-service.ts","46","OpenAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","48","Ollama","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","69","OpenAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","71","OpenAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","73","OPENAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","76","Ollama","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","78","Ollama","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","80","OLLAMA","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","126","OPENAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","127","OpenAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","149","Ollama","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","150","OLLAMA","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","160","OLLAMA","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/api-service.ts","161","OLLAMA","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/config.ts","36","OpenAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/config.ts","38","Ollama","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/config.ts","119","OpenAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/config.ts","120","Ollama","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/config.ts","205","OPENAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/config.ts","207","OLLAMA","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/config.ts","211","OPENAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/config.ts","212","OpenAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/config.ts","212","OPENAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/config.ts","214","OLLAMA","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/config.ts","215","Ollama","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/config.ts","215","OLLAMA","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","fallback remains explicit operator-gated; product copy was neutralized"
"src/dsxu/engine/doctor.ts","152","OPENAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","doctor checks env key presence but product label is provider-neutral"
"src/dsxu/engine/doctor.ts","212","OPENAI","explicit-provider-fallback-technical-identifier","KEEP_INTERNAL_ENV_OR_PROTOCOL_IDENTIFIER","doctor checks env key presence but product label is provider-neutral"
"src/dsxu/msa/__tests__/embedding-ollama.test.ts","2","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/msa/__tests__/embedding-ollama.test.ts","5","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/msa/__tests__/embedding-ollama.test.ts","6","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/msa/__tests__/embedding-ollama.test.ts","11","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/msa/__tests__/embedding-ollama.test.ts","13","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/msa/__tests__/embedding-ollama.test.ts","21","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/msa/__tests__/embedding-ollama.test.ts","23","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/msa/__tests__/embedding-ollama.test.ts","41","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/msa/__tests__/embedding-ollama.test.ts","57","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/dsxu/msa/__tests__/embedding-ollama.test.ts","71","Ollama","test-evidence-provider-or-brand-fixture","ALLOW_RELEASE_EXCLUDED_TEST_EVIDENCE","keep in tests only; no public product claim"
"src/ink/terminal.ts","72","Warp","terminal-platform-technical-identifier","KEEP_INTERNAL_IDENTIFIER_PRODUCT_COPY_NEUTRALIZED","do not market named terminal host; keep platform detection only"
"src/services/teamMemorySync/secretScanner.ts","258","OpenAI","security-detector-provider-name","KEEP_SECURITY_DETECTOR","secret scanner may name provider tokens to protect users"
"src/tools/MCPTool/classifyForCollapse.ts","457","copyright","safety-policy-or-mcp-tool-name","KEEP_SAFETY_GUARD","copyright text guard and MCP tool name stay as safety controls"
"src/tools/shared/gitOperationTracking.ts","134","Cherry","git-primitive-false-positive","KEEP_GENERIC_GIT_OPERATION","git cherry-pick is a command primitive, not product branding"
"src/tools/shared/gitOperationTracking.ts","135","Cherry","git-primitive-false-positive","KEEP_GENERIC_GIT_OPERATION","git cherry-pick is a command primitive, not product branding"
"src/tools/shared/gitOperationTracking.ts","140","Cherry","git-primitive-false-positive","KEEP_GENERIC_GIT_OPERATION","git cherry-pick is a command primitive, not product branding"
"src/tools/WebFetchTool/prompt.ts","26","copyright","safety-policy-or-mcp-tool-name","KEEP_SAFETY_GUARD","copyright text guard and MCP tool name stay as safety controls"
"src/utils/computerUse/common.ts","27","Warp","terminal-platform-technical-identifier","KEEP_INTERNAL_IDENTIFIER_PRODUCT_COPY_NEUTRALIZED","do not market named terminal host; keep platform detection only"
