path,statusCode,docClass,signoffDecision,releasePolicy,rule
"docs/DSXU_V20_MASTER_PLAN_20260514.md","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
"docs/DSXU_V20_OGR02_DELETE_PACKET_SIGNOFF_20260514.md","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
"docs/DSXU_V20_OWNER_GAP_MATRIX_20260514.md","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
"docs/DSXU_V20_OWNER_GIT_REVIEW_EXECUTION_20260514.md","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
"docs/DSXU_V20_P0_SOURCE_CLEANUP_EXECUTION_20260514.md","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
"docs/DSXU_V20_P1_PRODUCT_SIGNAL_OWNER_CLEANUP_20260514.md","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
"docs/DSXU_V20_REAL_OPERATION_TEST_ACCEPTANCE_20260514.md","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
"docs/generated/","??","release-excluded-source-truth-evidence","OWNER_ACCEPTED_RELEASE_EXCLUDED_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
"docs/INSTALL.md","??","ship-open-source-doc","OWNER_ACCEPTED_SHIP_DOC_PENDING_GIT","ship","public docs must stay provider-neutral and pass release-surface gates"
"docs/RELEASE_RUNBOOK.md","??","ship-open-source-doc","OWNER_ACCEPTED_SHIP_DOC_PENDING_GIT","ship","public docs must stay provider-neutral and pass release-surface gates"
"docs/SECURITY_PERMISSION.md","??","ship-open-source-doc","OWNER_ACCEPTED_SHIP_DOC_PENDING_GIT","ship","public docs must stay provider-neutral and pass release-surface gates"
"docs/TOOL_SURFACE.md","??","ship-open-source-doc","OWNER_ACCEPTED_SHIP_DOC_PENDING_GIT","ship","public docs must stay provider-neutral and pass release-surface gates"
"README.md","M","ship-open-source-doc","OWNER_ACCEPTED_SHIP_DOC_PENDING_GIT","ship","public docs must stay provider-neutral and pass release-surface gates"
"scripts/benchmark/dsxu-mainline-benchmark.ts","M","benchmark-evidence-not-release-runtime","OWNER_ACCEPTED_BENCH_EVIDENCE_PENDING_GIT","exclude-from-clean-export-or-test-evidence","evidence/source-truth docs stay in repo but clean export must exclude or rewrite them"
