"path","lines","owner","reasonixMechanism","status","staticRisks","recommendedAction"
"src/vim/types.ts","200","Baseline product/runtime support owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","shell-side-effect-gate-check","???? Tool Gate / Permission Gate???? visible-state?"
"src/services/oauth/index.ts","199","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/user.ts","196","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/hooks/hookEvents.ts","193","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/types/generated/google/protobuf/timestamp.ts","188","Baseline product/runtime support owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/services/experience/store.ts","184","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/mtls.ts","182","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/detectRepository.ts","179","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/services/embedding/chunker.ts","176","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/imageStore.ts","168","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/sessionEnvironment.ts","167","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/activityManager.ts","165","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/path.ts","156","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/execFileNoThrow.ts","151","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/sessionIngressAuth.ts","147","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/services/pbt/index.ts","144","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/services/static-analysis/parsers/eslint.ts","139","Shared runtime utility owner","tool-call-repair","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/buddy/companion.ts","134","Baseline product/runtime support owner","parallel-safe-dispatch","baseline-support-no-direct-gap","cache-prefix-drift-check;pro-admission-boundary-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/toolErrors.ts","133","Shared runtime utility owner","tool-call-repair","baseline-support-no-direct-gap","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/hooks/useInputBuffer.ts","133","Baseline product/runtime support owner","tool-call-repair","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/services/pbt/templates.ts","131","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/bash/shellQuoting.ts","129","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/suggestions/shellHistoryCompletion.ts","120","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/services/embedding/store.ts","120","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/systemTheme.ts","119","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/hooks/useDiffData.ts","111","Baseline product/runtime support owner","parallel-safe-dispatch;tool-call-repair","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/search/index.ts","109","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/imageValidation.ts","105","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/abortController.ts","100","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/git/gitignore.ts","100","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/fileReadCache.ts","97","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/services/static-analysis/contract.ts","94","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/idePathConversion.ts","91","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/execFileNoThrowPortable.ts","90","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/teamMemoryOps.ts","89","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","cache-prefix-drift-check;pro-admission-boundary-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/generators.ts","89","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/dsxu/network/relayPolicy.ts","85","Baseline product/runtime support owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/services/ingestion/index.ts","84","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/hooks/hookHelpers.ts","84","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","cache-prefix-drift-check;pro-admission-boundary-check;shell-side-effect-gate-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/which.ts","83","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/dsxu/network/dsxuRelayProxy.ts","82","Baseline product/runtime support owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/formatBriefTimestamp.ts","82","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/teleport/environmentSelection.ts","78","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/envCompat.ts","78","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","brand-or-reference-surface-review;pro-admission-boundary-check","??? hidden archived boundary ?? DSXU-owned ??????????????"
"src/utils/stream.ts","77","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/aws.ts","75","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/telemetry/events.ts","75","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","cache-prefix-drift-check;pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/systemDirectories.ts","75","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/telemetryAttributes.ts","72","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/fileOperationAnalytics.ts","72","Shared runtime utility owner","tool-call-repair","baseline-support-no-direct-gap","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/getWorktreePaths.ts","71","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/migrations/migrateSonnet45ToSonnet46.ts","71","Baseline product/runtime support owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","brand-or-reference-surface-review","??? hidden archived boundary ?? DSXU-owned ??????????????"
"src/utils/pdfUtils.ts","70","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/plugins/gitAvailability.ts","70","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/secureStorage/fallbackStorage.ts","69","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/process.ts","69","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/browser.ts","69","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/services/lsp/server.ts","67","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/xdg.ts","66","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/cliArgs.ts","61","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/dsxuLifecycleTrace.ts","59","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/dsxu/network/proxyEnv.ts","56","Baseline product/runtime support owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/taggedId.ts","55","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/migrations/resetProToOpusDefault.ts","55","Baseline product/runtime support owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","brand-or-reference-surface-review;pro-admission-boundary-check","??? hidden archived boundary ?? DSXU-owned ??????????????"
"src/services/oauth/getOauthProfile.ts","55","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/idleTimeout.ts","55","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/bash/registry.ts","54","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/services/embedding/contract.ts","53","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/contentArray.ts","52","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","cache-prefix-drift-check;pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/authPortable.ts","50","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/promptCategory.ts","50","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","cache-prefix-drift-check;pro-admission-boundary-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/settings/managedPath.ts","47","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/hash.ts","47","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/vendorToolPaths.ts","45","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/services/teamMemorySync/teamMemSecretGuard.ts","45","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/lockfile.ts","44","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/services/auth/dsxuProviderControlAuth.ts","43","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/modifiers.ts","41","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/timeouts.ts","40","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/unaryLogging.ts","40","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/task/outputFormatting.ts","39","Shared runtime utility owner","tool-call-repair","baseline-support-no-direct-gap","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/services/analytics/config.ts","39","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","cache-prefix-drift-check;pro-admission-boundary-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/task/sdkProgress.ts","37","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/types/analyticsTelemetry.ts","33","Baseline product/runtime support owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/cli/ndjsonSafeStringify.ts","33","Baseline product/runtime support owner","tool-call-repair","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/settings/internalWrites.ts","32","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/vendor/ripgrep/README.md","30","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/systemPromptType.ts","29","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","cache-prefix-drift-check;pro-admission-boundary-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/bash/shellPrefix.ts","29","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/userPromptKeywords.ts","28","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","cache-prefix-drift-check;pro-admission-boundary-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/getWorktreePathsPortable.ts","26","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/zodToJsonSchema.ts","24","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","cache-prefix-drift-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/hooks/useDynamicConfig.ts","23","Baseline product/runtime support owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/sessionEnvVars.ts","23","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/costHook.ts","23","Baseline product/runtime support owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/bundledMode.ts","23","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/objectGroupBy.ts","19","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/findExecutable.ts","18","Shared runtime utility owner","parallel-safe-dispatch","baseline-support-no-direct-gap","shell-side-effect-gate-check","???? Tool Gate / Permission Gate???? visible-state?"
"src/utils/secureStorage/index.ts","18","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/xml.ts","17","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/jsonRead.ts","16","Shared runtime utility owner","tool-call-repair","baseline-support-no-direct-gap","tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/utils/immediateCommand.ts","16","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/constants/errorIds.ts","16","Baseline product/runtime support owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/shell/outputLimits.ts","15","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/withResolvers.ts","14","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/memory/types.ts","13","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/constants/keys.ts","12","Baseline product/runtime support owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/utils/worktreeModeEnabled.ts","12","Shared runtime utility owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
