"path","lines","owner","reasonixMechanism","status","staticRisks","recommendedAction"
"scripts/dsxu-commercial-ip-release-preflight.ts","107","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-dag-owner-review.ts","258","Evidence / benchmark / DSXU engine owner","evidence-release-claim;permission-tool-gate;visible-work-state","test-or-evidence-support","shell-side-effect-gate-check","???? Tool Gate / Permission Gate???? visible-state?"
"scripts/dsxu-deepseek-cost-quality-acceptance.ts","325","DeepSeek route / cost / cache owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-evidence-dashboard.ts","187","Evidence / benchmark / DSXU engine owner","evidence-release-claim;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-external-benchmark-adapter-proof.ts","300","Evidence / benchmark / DSXU engine owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-hard-engineering-benchmark.ts","1463","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-health-audit.ts","102","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-legacy-swe-owner-review.ts","262","Evidence / benchmark / DSXU engine owner","evidence-release-claim;visible-work-state","review-replace-delete-or-archived-boundary","shell-side-effect-gate-check","?? owner/Git review??????? runtime ? README ???"
"scripts/dsxu-live-cache-prefix-smoke.ts","58","Evidence / benchmark / DSXU engine owner","deepseek-route-cost-control;evidence-release-claim;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-live-provider-gate.ts","45","Evidence / benchmark / DSXU engine owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;visible-work-state","test-or-evidence-support","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-owner-git-mutation-command-plan.ts","154","Evidence / benchmark / DSXU engine owner","parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","shell-side-effect-gate-check","???? Tool Gate / Permission Gate???? visible-state?"
"scripts/dsxu-owner-git-mutation-preflight.ts","342","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-owner-git-product-stage-plan.ts","212","Evidence / benchmark / DSXU engine owner","parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-owner-git-stage-plan.ts","224","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-p12-raw-readiness.ts","159","Evidence / benchmark / DSXU engine owner","evidence-release-claim;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-p12-target-manifest-contract-board.ts","98","Evidence / benchmark / DSXU engine owner","context-recovery;evidence-release-claim;parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","cache-prefix-drift-check;pro-admission-boundary-check;shell-side-effect-gate-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-p12-target-manifest-discovery.ts","219","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-p12-target-manifest-intake.ts","325","Evidence / benchmark / DSXU engine owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","cache-prefix-drift-check;pro-admission-boundary-check;shell-side-effect-gate-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-p12-target-reference-collection-pack.ts","132","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-pipeline-support-owner-review.ts","289","Evidence / benchmark / DSXU engine owner","deepseek-route-cost-control;evidence-release-claim;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-public-challenge-ablation-acceptance.ts","394","Evidence / benchmark / DSXU engine owner","cache-first-loop;deepseek-route-cost-control;evidence-release-claim;parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-raw-api-vs-dsxu-ab.ts","1556","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-reference-mechanism-audit.ts","1193","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-reference-scenario-backlog.ts","482","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-reference-scenario-convergence.ts","493","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-release-gate.ts","29","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch","test-or-evidence-support","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-root-tdd-owner-review.ts","229","Evidence / benchmark / DSXU engine owner","evidence-release-claim;permission-tool-gate;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-runtime-health.ts","16","Evidence / benchmark / DSXU engine owner","evidence-release-claim;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-source-cache-acceptance.ts","309","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-swe-bench-runner.ts","94","Evidence / benchmark / DSXU engine owner","deepseek-route-cost-control;evidence-release-claim;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-terminal-live-acceptance.ts","400","Evidence / benchmark / DSXU engine owner","context-recovery;evidence-release-claim;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-toolchain-inventory.ts","48","Evidence / benchmark / DSXU engine owner","evidence-release-claim;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-toolchain-repair.ts","181","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch","test-or-evidence-support","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-tungsten-disabled-tool-owner-review.ts","217","Evidence / benchmark / DSXU engine owner","context-recovery;evidence-release-claim;mcp-skill-agent-envelope;permission-tool-gate;visible-work-state","review-replace-delete-or-archived-boundary","brand-or-reference-surface-review","?? owner/Git review??????? runtime ? README ???"
"scripts/dsxu-v20-blocker-action-board.ts","181","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-v20-closure-batch-runner.ts","202","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v20-final-preflight.ts","243","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v20-owner-git-authorization-board.ts","338","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v20-post-authorization-verification-plan.ts","268","Evidence / benchmark / DSXU engine owner","context-recovery;evidence-release-claim;parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v20-six-stage-test-plan.ts","246","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-v24-c2-1902-full-evidence-join.ts","642","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-v24-c2-loop-real-acceptance.ts","536","Evidence / benchmark / DSXU engine owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","cache-prefix-drift-check;pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v24-clean-export-artifact.ts","306","Evidence / benchmark / DSXU engine owner","deepseek-route-cost-control;evidence-release-claim;parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v24-completed-reacceptance.ts","412","Evidence / benchmark / DSXU engine owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","cache-prefix-drift-check;pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v24-complex-task-acceptance.ts","570","Evidence / benchmark / DSXU engine owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","cache-prefix-drift-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v24-execution-batch.ts","1441","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-v24-fresh-install-release-smoke.ts","273","Evidence / benchmark / DSXU engine owner","deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v24-github-open-source-launch-pack.ts","400","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-v24-interactive-tui-acceptance.ts","628","TUI / visible-state owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","cache-prefix-drift-check;pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v24-live-acceptance-router.ts","352","Evidence / benchmark / DSXU engine owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","cache-prefix-drift-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v24-product-benchmark-data-pack.ts","543","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-v24-public-challenge-package.ts","1233","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-v24-section45-experience-loop-audit.ts","551","Evidence / benchmark / DSXU engine owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","cache-prefix-drift-check;pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v24-senior-coding-window.ts","547","Evidence / benchmark / DSXU engine owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","cache-prefix-drift-check;pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v24-six-stage-final-tests.ts","452","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-v26-c2-capability-loss-board.ts","424","Evidence / benchmark / DSXU engine owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","cache-prefix-drift-check;pro-admission-boundary-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/dsxu-v26-c2-owner-implementation-acceptance.ts","400","Evidence / benchmark / DSXU engine owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","brand-or-reference-surface-review;cache-prefix-drift-check;pro-admission-boundary-check","??? hidden archived boundary ?? DSXU-owned ??????????????"
"scripts/dsxu-v26-c2-public-claim-closure.ts","324","Evidence / benchmark / DSXU engine owner","evidence-release-claim;parallel-safe-dispatch;tool-call-repair;visible-work-state","test-or-evidence-support","brand-or-reference-surface-review","??? hidden archived boundary ?? DSXU-owned ??????????????"
"scripts/dsxu-v26-naming-governance-board.ts","393","Evidence / benchmark / DSXU engine owner","context-recovery;evidence-release-claim;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/dsxu-v26-reference-experience-reverse-analysis.ts","545","Evidence / benchmark / DSXU engine owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/dsxu-visible-state-acceptance.ts","345","TUI / visible-state owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;permission-tool-gate;visible-work-state","test-or-evidence-support","none-static","??????????????? claim ????? evidence?"
"scripts/guards/check-protected.ts","148","Baseline product/runtime support owner","no-direct-reasonix-overlap","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/guards/final-acceptance-test.ts","160","Baseline product/runtime support owner","visible-work-state","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/guards/test-check-bash.ts","92","Baseline product/runtime support owner","parallel-safe-dispatch;visible-work-state","test-or-evidence-support","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/guards/test-edge-cases.ts","89","Baseline product/runtime support owner","parallel-safe-dispatch;visible-work-state","test-or-evidence-support","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"scripts/ledger/summary.ts","282","Baseline product/runtime support owner","deepseek-route-cost-control;tool-call-repair","test-or-evidence-support","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"scripts/ledger/test.ts","284","Baseline product/runtime support owner","deepseek-route-cost-control;tool-call-repair;visible-work-state","test-or-evidence-support","pro-admission-boundary-check;shell-side-effect-gate-check","? Flash-first / Pro admission trajectory evidence?"
"src/assistant/sessionHistory.ts","106","Baseline product/runtime support owner","visible-work-state","implemented-or-integrated-mainline","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/bootstrap/state.ts","1771","Baseline product/runtime support owner","cache-first-loop;context-recovery;deepseek-route-cost-control;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;visible-work-state","implemented-or-integrated-mainline","none-static","??????????????? claim ????? evidence?"
"src/buddy/companion.ts","134","Baseline product/runtime support owner","parallel-safe-dispatch","baseline-support-no-direct-gap","cache-prefix-drift-check;pro-admission-boundary-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/buddy/CompanionSprite.tsx","371","Baseline product/runtime support owner","context-recovery;visible-work-state","implemented-or-integrated-mainline","cache-prefix-drift-check;pro-admission-boundary-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/buddy/prompt.ts","37","Baseline product/runtime support owner","no-direct-reasonix-overlap","baseline-support-no-direct-gap","none-static","???? owner????? Reasonix ?????"
"src/buddy/sprites.ts","515","Baseline product/runtime support owner","visible-work-state","implemented-or-integrated-mainline","brand-or-reference-surface-review;pro-admission-boundary-check","??? hidden archived boundary ?? DSXU-owned ??????????????"
"src/buddy/types.ts","149","Baseline product/runtime support owner","context-recovery;permission-tool-gate","implemented-or-integrated-mainline","brand-or-reference-surface-review;pro-admission-boundary-check","??? hidden archived boundary ?? DSXU-owned ??????????????"
"src/buddy/useBuddyNotification.tsx","98","Baseline product/runtime support owner","context-recovery;visible-work-state","implemented-or-integrated-mainline","shell-side-effect-gate-check","???? Tool Gate / Permission Gate???? visible-state?"
"src/cli/exit.ts","32","Baseline product/runtime support owner","mcp-skill-agent-envelope","implemented-or-integrated-mainline","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/cli/handlers/agents.ts","71","Baseline product/runtime support owner","mcp-skill-agent-envelope","implemented-or-integrated-mainline","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/cli/handlers/auth.ts","521","Baseline product/runtime support owner","context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;visible-work-state","implemented-or-integrated-mainline","cache-prefix-drift-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/cli/handlers/autoMode.ts","171","Baseline product/runtime support owner","context-recovery;permission-tool-gate","implemented-or-integrated-mainline","cache-prefix-drift-check;pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/cli/handlers/mcp.tsx","378","Baseline product/runtime support owner","evidence-release-claim;mcp-skill-agent-envelope;visible-work-state","implemented-or-integrated-mainline","cache-prefix-drift-check;pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/cli/handlers/plugins.ts","879","Baseline product/runtime support owner","context-recovery;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;visible-work-state","implemented-or-integrated-mainline","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/cli/handlers/util.tsx","131","Baseline product/runtime support owner","deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;visible-work-state","implemented-or-integrated-mainline","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/cli/ndjsonSafeStringify.ts","33","Baseline product/runtime support owner","tool-call-repair","baseline-support-no-direct-gap","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
"src/cli/print.ts","5696","Baseline product/runtime support owner","cache-first-loop;context-recovery;deepseek-route-cost-control;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate;tool-call-repair;visible-work-state","implemented-or-integrated-mainline","none-static","??????????????? claim ????? evidence?"
"src/cli/remoteIO.ts","283","Baseline product/runtime support owner","context-recovery;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate","implemented-or-integrated-mainline","cache-prefix-drift-check;pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/cli/structuredIO.ts","860","Baseline product/runtime support owner","context-recovery;mcp-skill-agent-envelope;parallel-safe-dispatch;permission-tool-gate","implemented-or-integrated-mainline","cache-prefix-drift-check;pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/cli/transports/ccrClient.ts","1025","Baseline product/runtime support owner","context-recovery;evidence-release-claim;mcp-skill-agent-envelope;parallel-safe-dispatch;visible-work-state","implemented-or-integrated-mainline","pro-admission-boundary-check;shell-side-effect-gate-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/cli/transports/HybridTransport.ts","278","Baseline product/runtime support owner","context-recovery;evidence-release-claim;tool-call-repair;visible-work-state","implemented-or-integrated-mainline","pro-admission-boundary-check;tool-result-budget-check","? Reasonix-style stable-prefix / artifact-preview ???????? runtime?"
"src/cli/transports/SerialBatchEventUploader.ts","275","Baseline product/runtime support owner","context-recovery;evidence-release-claim;parallel-safe-dispatch","implemented-or-integrated-mainline","pro-admission-boundary-check","? Flash-first / Pro admission trajectory evidence?"
