"statusCode","path","originalPacket","targetOwnerPacket","remapDecision","signoffState"
"M","src/constants/system.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/toolLimits.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/tools.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/turnCompletionVerbs.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-shared-constant-utility","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/constants/xml.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/context.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-default-shared-utility-review","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/context/fpsMetrics.tsx","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/context/mailbox.tsx","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/context/modalContext.tsx","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/context/overlayContext.tsx","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/context/promptOverlayContext.tsx","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/coordinator/coordinatorMode.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-default-shared-utility-review","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/dsxu/integration/harness/control-plane-stage-acceptance-v1-harness.ts","V20-OGR-13-other-source-owner-review","V20-OGR-09-dsxu-engine-mainline","remap-test-evidence-only-no-product-runtime","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/dsxu/integration/harness/recovery-runtime-v3-harness.ts","V20-OGR-13-other-source-owner-review","V20-OGR-09-dsxu-engine-mainline","remap-test-evidence-only-no-product-runtime","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/dsxu/integration/harness/remote-network-workflow-v1-harness.ts","V20-OGR-13-other-source-owner-review","V20-OGR-09-dsxu-engine-mainline","remap-test-evidence-only-no-product-runtime","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/history.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-default-shared-utility-review","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/ink.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-default-shared-utility-review","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/interactiveHelpers.tsx","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-default-shared-utility-review","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/defaultBindings.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/KeybindingContext.tsx","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/loadUserBindings.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/match.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/parser.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/reservedShortcuts.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/resolver.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/schema.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/shortcutFormat.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/template.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/useKeybinding.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/useShortcutDisplay.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/keybindings/validate.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/localRecoveryCli.ts","V20-OGR-13-other-source-owner-review","V20-OGR-05-external-integration-adapter-boundary","remap-external-or-recovery-adapter-boundary","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/memdir/findRelevantMemories.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/memdir/memdir.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/memdir/memoryAge.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/memdir/memoryScan.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/memdir/memoryTypes.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/memdir/paths.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/migrations/migrateAutoUpdatesToSettings.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-settings-migration-shared-utility","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/migrations/migrateBypassPermissionsAcceptedToSettings.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-settings-migration-shared-utility","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/migrations/migrateFennecToOpus.ts","V20-OGR-13-other-source-owner-review","V20-OGR-07-provider-migration-model-cost","remap-provider-migration-adapt-or-exclude","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/migrations/migrateLegacyOpusToCurrent.ts","V20-OGR-13-other-source-owner-review","V20-OGR-07-provider-migration-model-cost","remap-provider-migration-adapt-or-exclude","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/migrations/migrateSonnet1mToSonnet45.ts","V20-OGR-13-other-source-owner-review","V20-OGR-07-provider-migration-model-cost","remap-provider-migration-adapt-or-exclude","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/migrations/migrateSonnet45ToSonnet46.ts","V20-OGR-13-other-source-owner-review","V20-OGR-07-provider-migration-model-cost","remap-provider-migration-adapt-or-exclude","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/migrations/resetAutoModeOptInForDefaultOffer.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-settings-migration-shared-utility","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/migrations/resetProToOpusDefault.ts","V20-OGR-13-other-source-owner-review","V20-OGR-07-provider-migration-model-cost","remap-provider-migration-adapt-or-exclude","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/moreright/useMoreRight.tsx","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/native-ts/file-index/index.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/native-ts/yoga-layout/enums.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/native-ts/yoga-layout/index.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/outputStyles/loadOutputStylesDir.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/projectOnboardingState.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/query/config.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/query/deps.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/query/stopHooks.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/schemas/hooks.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-default-shared-utility-review","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/server/directConnectManager.ts","V20-OGR-13-other-source-owner-review","V20-OGR-05-external-integration-adapter-boundary","remap-external-or-recovery-adapter-boundary","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/setup.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-default-shared-utility-review","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/state/AppState.tsx","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/state/AppStateStore.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/state/onChangeAppState.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/state/selectors.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/state/store.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/tools.ts","V20-OGR-13-other-source-owner-review","V20-OGR-10-entry-query-tool-composition","remap-entry-query-tool-composition","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/types/analyticsTelemetry.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/types/command.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/types/generated/events_mono/growthbook/v1/growthbook_experiment_event.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/types/generated/google/protobuf/timestamp.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/types/hooks.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/types/ids.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/types/logs.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/types/permissions.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/types/textInputTypes.ts","V20-OGR-13-other-source-owner-review","V20-OGR-12-shared-platform-utilities","remap-conditional-shared-utility-only-if-imported","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/vim/motions.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/vim/operators.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/vim/textObjects.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/vim/transitions.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/vim/types.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-owner-accepted-visible-state-input-and-projection","remapped-to-named-owner-pending-owner-git-signoff"
"M","src/voice/voiceModeEnabled.ts","V20-OGR-13-other-source-owner-review","V20-OGR-06-ui-tui-visible-state","remap-voice-visible-interaction-boundary","remapped-to-named-owner-pending-owner-git-signoff"
