"statusCode","path","ownerPacket","reviewState","recommendedAction","source"
"??","docs/DSXU_V20_COMMERCIAL_IP_BRAND_RELEASE_GATE_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_DELETION_GIT_MUTATION_SIGNOFF_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-refresh-20260515"
"??","docs/DSXU_V20_DELETION_MUTATION_REVIEW_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_DELETION_MUTATION_REVIEW_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_EXTERNAL_VISIBLE_STATE_OWNER_REVIEW_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_FALSE_COMPLETION_AUDIT_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_FULL_CODE_INTEGRATION_ASSESSMENT_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_MAINLINE_OWNER_MAP_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_MASTER_PLAN_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_OGR01_DOCS_RELEASE_EVIDENCE_SIGNOFF_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_OGR02_DELETE_PACKET_SIGNOFF_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_OGR12_REPLACE_DELETE_MUTATION_REVIEW_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_OGR12_SHARED_UTILITY_IMPORT_USE_REVIEW_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_OWNER_GAP_MATRIX_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_OWNER_GIT_REVIEW_EXECUTION_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_OWNER_GIT_REVIEW_REGISTER_REFRESH_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-refresh-20260515"
"??","docs/DSXU_V20_OWNER_PACKET_RUNTIME_REDLINE_ADJUDICATION_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_OWNER_PACKET_RUNTIME_REDLINE_REVIEW_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_OWNER_PACKET_RUNTIME_REDLINE_REVIEW_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_OWNER_PACKET_SIGNOFF_EXECUTION_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_OWNER_PACKET_SIGNOFF_EXECUTION_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-refresh-20260515"
"??","docs/DSXU_V20_OWNER_PACKET_SIGNOFF_EXECUTION_UPDATE_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_P0_SOURCE_CLEANUP_EXECUTION_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_P1_PRODUCT_SIGNAL_OWNER_CLEANUP_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_PRIORITY_OWNER_PACKET_REVIEW_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_REAL_GAP_ACCEPTANCE_PROGRESS_20260515.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-refresh-20260515"
"??","docs/DSXU_V20_REAL_GAP_PRODUCTIZATION_REVIEW_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/DSXU_V20_REAL_OPERATION_TEST_ACCEPTANCE_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/DSXU_V20_RELEASE_SURFACE_OWNER_EXECUTION_20260514.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","current-classifier"
"??","docs/generated/","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/INSTALL.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/RELEASE_RUNBOOK.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/SECURITY_PERMISSION.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"??","docs/TOOL_SURFACE.md","V20-OGR-01-docs-generated-plan","owner-review-required-release-evidence","owner-review-signoff-or-adjust","previous-register"
"M","README.md","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust","previous-register"
"M","scripts/benchmark/dsxu-mainline-benchmark.ts","V20-OGR-01-docs-generated-plan","owner-review-required","owner-review-signoff-or-adjust","previous-register"
"D","src/dsxu/engine/__tests__/audit-v10-3-strict-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/c02-prompt-stack-mainline-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/c03-querycontext-classifiers-mainline-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/clean-export-readiness-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/context-query-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/coordinator-lifecycle-v5-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/coordinator-mainline-v3-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/coordinator-mode-and-bridge-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/dirty-worktree-review-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/final-release-preflight-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/mainline-dirty-review-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/owner-git-import-use-evidence-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/owner-git-mainline-keep-review-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/owner-git-replace-delete-review-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/pending-deletion-owner-review-rollup-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/pending-deletion-release-excluded-archive-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/pending-deletion-review-lanes-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/pending-deletion-review-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/query-context-mainline-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/release-closure-board-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/skills-mainline-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/skills-prompt-stack-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/skills-selection-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/task-lifecycle-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/tool-evidence-pack-contract-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/tool-mainline-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/tool-runtime-dirty-review-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/v10-3x-core-runtime-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/v18-public-surface-clean-gate-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/v18-release-provenance-gate-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/audit_v10_3_strict.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/clean-export-readiness-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/dirty-worktree-review-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/final-release-preflight-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/mainline-dirty-review-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/owner-git-import-use-evidence-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/owner-git-mainline-keep-review-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/owner-git-replace-delete-review-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/pending-deletion-owner-review-rollup-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/pending-deletion-release-excluded-archive-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/pending-deletion-review-lanes-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/pending-deletion-review-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/release-closure-board-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/tool-runtime-dirty-review-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/v18-dirty-quarantine-ledger.ts","V20-OGR-02-delete-old-evidence-review-runtime","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/constants/legacyProviderProtocol.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/control-plane/controlCompatProtocol.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/legacy-mainline-dirty-review-v1.test.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/legacy-model-compat-isolation-v1.test.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/__tests__/legacy-provider-model-migration-boundary-v1.test.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/legacy-mainline-dirty-review-v1.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/provider-backend/bounded-uuid-set.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/provider-backend/dsxu-provider-compat.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/provider-backend/dsxu-remote-permission-bridge.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/provider-backend/dsxu-remote-session-manager.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/provider-backend/dsxu-sdk-message-adapter.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/engine/provider-backend/local-provider-backend.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/c16-shell-full-audit-matrix.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/clean-export-readiness-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/deferred-product-absorption-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/dirty-worktree-review-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/final-release-preflight-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/legacy-mainline-dirty-review-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/mainline-dirty-review-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/owner-git-closure-board-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/owner-git-import-use-evidence-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/owner-git-mainline-keep-review-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/owner-git-replace-delete-review-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/owner-git-signoff-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/pending-deletion-control-plane-replacement-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/pending-deletion-old-root-shim-replacement-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/pending-deletion-owner-review-rollup-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/pending-deletion-release-excluded-archive-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/pending-deletion-review-lanes-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/pending-deletion-review-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/pending-deletion-signoff-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/release-closure-board-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/skills-mainline-v1-clean-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/tool-mainline-v1-clean-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
"D","src/dsxu/integration/harness/tool-runtime-dirty-review-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","delete-ready-pending-git-mutation-review","keep-deleted-and-stage-removal-only-after-explicit-git-review","deletion-mutation-review"
