path,kind,capability,primaryLabel,labels,defaultMainline,appRuntime,cliScript,testContract,docEvidence,experiment,frozen,historicalResidue,importedByCount,referencedByScriptsCount,referencedByTestsCount,referencedByDocsCount,recommendation,reasons
docs/DSXU_SOURCE_CACHE_ACCEPTANCE_20260516.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,14,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_TERMINAL_LIVE_ACCEPTANCE_20260516.md,document,documentation,doc-evidence,doc-evidence,false,false,false,false,true,false,false,false,0,0,0,14,文档/证据资产；只能作为说明，不可作为 runtime 完成证明。,docs path or referenced by docs/generated evidence
docs/DSXU_TUNGSTEN_DISABLED_TOOL_OWNER_REVIEW_20260517.md,document,documentation,doc-evidence,doc-evidence; experiment; frozen,false,false,false,false,true,true,true,false,0,0,0,18,冻结或发布治理资产；默认链不要引入，除非有明确 owner 和验收。,docs path or referenced by docs/generated evidence; experimental/eval/proof/smoke naming signal; freeze/disabled/release-governance naming signal
docs/DSXU_V18_V19_MERGED_AUDIT_20260510_CLEAN.md,document,documentation,test-contract,test-contract; doc-evidence; historical-residue,false,false,false,true,true,false,false,true,0,0,1,14,保留为测试合同；若声称产品能力，必须补默认链可达性证据。,test path or referenced by tests; docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V1_CORE_EXECUTION_PLAN_20260518.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,16,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V1_CORE_EXECUTION_PLAN_20260518_CN.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,17,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V1_OPTIMIZATION_PLAN.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,15,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_100_POINT_ARCHITECTURE_REVIEW_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_ACL_RESIDUE_REVIEW_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,13,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_ACL_RESIDUE_SIGNOFF_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,13,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_BATCH_CLOSURE_BOARD_20260514.md,document,documentation,doc-evidence,doc-evidence; frozen; historical-residue,false,false,false,false,true,false,true,true,0,0,0,13,冻结或发布治理资产；默认链不要引入，除非有明确 owner 和验收。,docs path or referenced by docs/generated evidence; freeze/disabled/release-governance naming signal; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_C2_FULL_OWNER_EXECUTION_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_C2_OGR_CROSS_SIGNOFF_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,15,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_C2_OGR_CROSS_SIGNOFF_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_CLAUDE_EXPERIENCE_DATA_AUDIT_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_CLAUDE_SRC_COMPARATIVE_ABSORPTION_REVIEW_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_CLOSURE_BOARD_20260515.md,document,documentation,doc-evidence,doc-evidence; frozen; historical-residue,false,false,false,false,true,false,true,true,0,0,0,15,冻结或发布治理资产；默认链不要引入，除非有明确 owner 和验收。,docs path or referenced by docs/generated evidence; freeze/disabled/release-governance naming signal; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_COMMERCIAL_IP_BRAND_ADJUDICATION_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,15,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_COMMERCIAL_IP_BRAND_RELEASE_GATE_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,13,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_DELETION_GIT_MUTATION_SIGNOFF_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_DELETION_MUTATION_REVIEW_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_DELETION_MUTATION_REVIEW_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_EXTERNAL_VISIBLE_STATE_OWNER_REVIEW_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,13,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_FALSE_COMPLETION_AUDIT_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,12,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_FULL_CODE_INTEGRATION_ASSESSMENT_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,15,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_MAINLINE_OWNER_MAP_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,17,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_MASTER_PLAN_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,21,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OGR01_DOCS_RELEASE_EVIDENCE_SIGNOFF_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,13,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OGR02_DELETE_PACKET_SIGNOFF_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,15,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OGR12_REPLACE_DELETE_MUTATION_REVIEW_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,13,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OGR12_SHARED_UTILITY_IMPORT_USE_REVIEW_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,13,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OWNER_GAP_MATRIX_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OWNER_GIT_REVIEW_EXECUTION_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,17,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OWNER_GIT_REVIEW_REGISTER_REFRESH_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,15,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OWNER_PACKET_RUNTIME_REDLINE_ADJUDICATION_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,13,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OWNER_PACKET_RUNTIME_REDLINE_REVIEW_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OWNER_PACKET_RUNTIME_REDLINE_REVIEW_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OWNER_PACKET_SIGNOFF_EXECUTION_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OWNER_PACKET_SIGNOFF_EXECUTION_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_OWNER_PACKET_SIGNOFF_EXECUTION_UPDATE_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,13,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_P0_SOURCE_CLEANUP_EXECUTION_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,15,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_P1_PRODUCT_SIGNAL_OWNER_CLEANUP_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,13,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_PRIORITY_OWNER_PACKET_REVIEW_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_REAL_GAP_ACCEPTANCE_PROGRESS_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,12,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_REAL_GAP_PRODUCTIZATION_REVIEW_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_REAL_OPERATION_TEST_ACCEPTANCE_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,15,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V20_RELEASE_SURFACE_OWNER_EXECUTION_20260514.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
docs/DSXU_V24_C2_1902_FULL_EVIDENCE_JOIN_20260515.md,document,documentation,doc-evidence,doc-evidence; historical-residue,false,false,false,false,true,false,false,true,0,0,0,14,历史/吸收/兼容残留；建议归档或加 owner 注释，避免被误认为当前能力。,docs path or referenced by docs/generated evidence; versioned/reference/absorption/legacy naming signal
