"path","line","category","severity","disposition","ownerGuess","requiredAction","excerpt"
"src\components\ResumeTask.tsx","168","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO: include branch name when API returns it"
"src\components\ScrollKeybindingHandler.tsx","545","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO(search): `/`, n/N ...build on Richard Kim's d94b07add4 (branch"
"src\components\Settings\Config.tsx","278","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO: Add MCP servers"
"src\components\Settings\Config.tsx","1105","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO: Make these proper messages"
"src\coordinator\roles\role-implementations.ts","138","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","release-doctor","implement, remove, or mark release-excluded with owner evidence","// TODO: 集成实际的模型调用"
"src\coordinator\tdd-gate\runner.ts","75","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","release-doctor","implement, remove, or mark release-excluded with owner evidence","// TODO: 用 execSync 或 Bun.spawn 跑 bun test"
"src\coordinator\tdd-gate\runner.ts","76","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","release-doctor","implement, remove, or mark release-excluded with owner evidence","return { passed: false, output: 'Real test runner not implemented yet' };"
"src\coordinator\voting\voter.ts","98","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","release-doctor","implement, remove, or mark release-excluded with owner evidence","// TODO: 集成真实 LLM 调用"
"src\dsxu\engine\magic-docs-tool.ts","88","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","dsxu-engine-mainline","implement, remove, or mark release-excluded with owner evidence","// TODO: 实现 LLM 更新函数"
"src\dsxu\engine\memory\memory-extractor.ts","131","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","dsxu-engine-mainline","implement, remove, or mark release-excluded with owner evidence","// 注释中的TODO/FIXME"
"src\dsxu\engine\memory\memory-extractor.ts","132","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","dsxu-engine-mainline","implement, remove, or mark release-excluded with owner evidence","/\/\/\s*(TODO|FIXME|NOTE|WARNING|IMPORTANT):\s*(.+)/gi,"
"src\entrypoints\agentSdkTypes.ts","87","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('not implemented')"
"src\entrypoints\agentSdkTypes.ts","106","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('not implemented')"
"src\entrypoints\agentSdkTypes.ts","121","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('query is not implemented in the SDK')"
"src\entrypoints\agentSdkTypes.ts","132","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('unstable_v2_createSession is not implemented in the SDK')"
"src\entrypoints\agentSdkTypes.ts","144","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('unstable_v2_resumeSession is not implemented in the SDK')"
"src\entrypoints\agentSdkTypes.ts","164","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('unstable_v2_prompt is not implemented in the SDK')"
"src\entrypoints\agentSdkTypes.ts","182","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('getSessionMessages is not implemented in the SDK')"
"src\entrypoints\agentSdkTypes.ts","207","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('listSessions is not implemented in the SDK')"
"src\entrypoints\agentSdkTypes.ts","223","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('getSessionInfo is not implemented in the SDK')"
"src\entrypoints\agentSdkTypes.ts","237","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('renameSession is not implemented in the SDK')"
"src\entrypoints\agentSdkTypes.ts","251","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('tagSession is not implemented in the SDK')"
"src\entrypoints\agentSdkTypes.ts","272","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('forkSession is not implemented in the SDK')"
"src\entrypoints\agentSdkTypes.ts","355","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('not implemented')"
"src\entrypoints\agentSdkTypes.ts","364","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('not implemented')"
"src\entrypoints\agentSdkTypes.ts","442","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","throw new Error('not implemented')"
"src\entrypoints\mcp.ts","62","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","// TODO: Also re-expose any MCP tools"
"src\entrypoints\mcp.ts","103","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","// TODO: Also re-expose any MCP tools"
"src\entrypoints\mcp.ts","136","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","// TODO: validate input types with zod"
"src\hooks\useBackgroundTaskNavigation.ts","222","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO(onKeyDown-migration): remove once REPL passes handleKeyDown."
"src\hooks\useHistorySearch.ts","250","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO(onKeyDown-migration): remove once PromptInput passes handleKeyDown."
"src\hooks\useSearchInput.ts","330","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO(onKeyDown-migration): remove once all consumers pass handleKeyDown."
"src\hooks\useTypeahead.tsx","1286","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO(onKeyDown-migration): remove once PromptInput passes handleKeyDown."
"src\hooks\useVoiceIntegration.tsx","622","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO(onKeyDown-migration): remove once REPL passes handleKeyDown."
"src\hooks\useVoiceIntegration.tsx","639","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO(onKeyDown-migration): temporary shim so existing JSX callers"
"src\ink\events\input-event.ts","50","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO(vadimdemedes): consider removing this in the next major version."
"src\ink\events\input-event.ts","95","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO(vadimdemedes): remove this in the next major version."
"src\keybindings\shortcutFormat.ts","9","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO(keybindings-migration): Remove fallback parameter after migration is"
"src\keybindings\useShortcutDisplay.ts","9","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO(keybindings-migration): Remove fallback parameter after migration is complete"
"src\main.tsx","2417","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","cli-command-transport","implement, remove, or mark release-excluded with owner evidence","// TODO: Consolidate other prefetches into a single bootstrap request."
"src\native-ts\yoga-layout\index.ts","33","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","* Not implemented (not used by Ink):"
"src\native-ts\yoga-layout\index.ts","753","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// Not implemented ...Ink doesn't use content-box"
"src\query.ts","3030","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","query-loop","implement, remove, or mark release-excluded with owner evidence","//TODO: no need to set toolUseContext.messages during set-up since it is updated here"
"src\QueryEngine.ts","518","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","query-loop","implement, remove, or mark release-excluded with owner evidence",".mode as PermissionMode, // TODO: avoid the cast"
"src\screens\REPL.tsx","3731","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO: Simplify by always routing through onSubmit once it supports"
"src\screens\REPL.tsx","3748","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO: Once onSubmit supports ContentBlockParam arrays, remove this branch"
"src\screens\REPL.tsx","4783","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO: fix this"
"src\services\analytics\featureFlags.ts","312","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","evidence-telemetry","implement, remove, or mark release-excluded with owner evidence","// TODO: Remove this once the API is fixed to return correct format"
"src\services\api\client.ts","254","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","model-router-cost","implement, remove, or mark release-excluded with owner evidence","// TODO: Cache either GoogleAuth instance or AuthClient to improve performance"
"src\services\api\dsxuTransport.ts","2143","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","model-router-cost","implement, remove, or mark release-excluded with owner evidence","// TODO: handle citations"
"src\services\api\errorUtils.ts","126","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","model-router-cost","implement, remove, or mark release-excluded with owner evidence","// TODO: figure out why"
"src\services\api\withRetry.ts","110","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","model-router-cost","implement, remove, or mark release-excluded with owner evidence","// TODO(ANT-344): the keep-alive via SystemAPIErrorMessage yields is a stopgap"
"src\services\api\withRetry.ts","568","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","model-router-cost","implement, remove, or mark release-excluded with owner evidence","// TODO: Replace with a response header check once the API adds a dedicated"
"src\services\auth\dsxuProviderAuth.ts","1129","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","model-router-cost","implement, remove, or mark release-excluded with owner evidence","// TODO: migrate to SecureStorage"
"src\services\auth\dsxuProviderAuth.ts","1181","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","model-router-cost","implement, remove, or mark release-excluded with owner evidence","// TODO: migrate to SecureStorage"
"src\services\compact\compact.ts","1822","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","context-recovery","implement, remove, or mark release-excluded with owner evidence","// TODO: Refactor to use isMemoryFilePath() from dsxu instruction files for consistency"
"src\services\diagnosticTracking.ts","58","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","evidence-telemetry","implement, remove, or mark release-excluded with owner evidence","// TODO: Do not cache the connected mcpClient since it can change."
"src\services\mcp\client.ts","698","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","mcp-skill-registry","implement, remove, or mark release-excluded with owner evidence","// TODO: Use the auth token provided in the lockfile"
"src\services\mcp\MCPConnectionManager.tsx","37","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","mcp-skill-registry","implement, remove, or mark release-excluded with owner evidence","// TODO (ollie): We may be able to get rid of this context by putting these function on app state"
"src\services\mcp\useManageMCPConnections.ts","380","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","mcp-skill-registry","implement, remove, or mark release-excluded with owner evidence","// TODO: This really isn't great: ideally we'd check appstate as the source of truth"
"src\services\mcp\utils.ts","362","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","mcp-skill-registry","implement, remove, or mark release-excluded with owner evidence","// TODO: This fails an e2e test if the ?. is not present. This is likely a bug in the e2e test."
"src\services\mutation\index.ts","62","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","coding-workflow","implement, remove, or mark release-excluded with owner evidence","testOutput: 'Real mutation runner not implemented yet',"
"src\services\oauth\auth-code-listener.ts","114","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","config-settings","implement, remove, or mark release-excluded with owner evidence","// TODO: swap to a different url once we have an error page"
"src\services\pbt\index.ts","82","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","public-challenge-eval","implement, remove, or mark release-excluded with owner evidence","error: 'Real PBT runner not implemented — use fast-check directly',"
"src\state\AppState.tsx","23","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO: Remove these re-exports once all callers import directly from"
"src\state\AppStateStore.ts","166","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","ui-tui-work-state","implement, remove, or mark release-excluded with owner evidence","// TODO (ashwin): see if we can use utility-types DeepReadonly for this"
"src\tasks\RemoteAgentTask\RemoteAgentTask.tsx","456","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","agent-task-lifecycle","implement, remove, or mark release-excluded with owner evidence","// TODO(#23985): fold ExitPlanModeScanner into this poller, drop startDetachedPoll."
"src\Tool.ts","409","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","tool-lifecycle","implement, remove, or mark release-excluded with owner evidence","* Defaults to `'block'` when not implemented."
"src\Tool.ts","502","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","tool-lifecycle","implement, remove, or mark release-excluded with owner evidence","* hook pattern. If not implemented, only tool-name-level matching works."
"src\tools\AgentTool\AgentTool.tsx","1375","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","tool-lifecycle","implement, remove, or mark release-excluded with owner evidence","// TODO: Find a cleaner way to express this"
"src\tools\AgentTool\forkSubagent.ts","173","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","tool-lifecycle","implement, remove, or mark release-excluded with owner evidence","// TODO(smoosh): this text sibling creates a [tool_result, text] pattern on the wire"
"src\tools\FileReadTool\UI.tsx","78","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","tool-lifecycle","implement, remove, or mark release-excluded with owner evidence","// TODO: Render recursively"
"src\tools\TaskUpdateTool\TaskUpdateTool.ts","214","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","tool-lifecycle","implement, remove, or mark release-excluded with owner evidence","// todo items to teammates for showing activity status."
"src\utils\advisor.ts","9","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","agent-task-lifecycle","implement, remove, or mark release-excluded with owner evidence","// TODO(hackyon): Migrate to the real provider SDK types when this feature ships publicly"
"src\utils\api.ts","568","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","api-contract-types","implement, remove, or mark release-excluded with owner evidence","// TODO: Generalize this to all tools"
"src\utils\attachments.ts","738","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","coding-workflow","implement, remove, or mark release-excluded with owner evidence","// TODO: Compute attachments as the user types, not here (though we use this"
"src\utils\attachments.ts","1927","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","coding-workflow","implement, remove, or mark release-excluded with owner evidence","// TODO: Implement offset/limit support for changed files"
"src\utils\attachments.ts","2709","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","coding-workflow","implement, remove, or mark release-excluded with owner evidence","// TODO: Compute this upstream"
"src\utils\bash\ast.ts","2436","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","tool-lifecycle","implement, remove, or mark release-excluded with owner evidence","// TODO: remove once downstream path validation operates on argv."
"src\utils\config.ts","191","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","config-settings","implement, remove, or mark release-excluded with owner evidence","// TODO: 'emacs' is kept as a historical mode alias - remove after a few releases."
"src\utils\config.ts","379","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","config-settings","implement, remove, or mark release-excluded with owner evidence","// Todo feature configuration"
"src\utils\config.ts","1628","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","config-settings","implement, remove, or mark release-excluded with owner evidence","// TODO: Fix upstream"
"src\utils\generators.ts","62","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","coding-workflow","implement, remove, or mark release-excluded with owner evidence","// TODO: Clean this up"
"src\utils\hooks.ts","1225","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","hook-lifecycle","implement, remove, or mark release-excluded with owner evidence","// TODO: Add tests for EPIPE handling."
"src\utils\hooks.ts","3184","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","hook-lifecycle","implement, remove, or mark release-excluded with owner evidence","// TODO: Implement prompt stop hooks outside REPL"
"src\utils\hooks.ts","3194","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","hook-lifecycle","implement, remove, or mark release-excluded with owner evidence","// TODO: Implement agent stop hooks outside REPL"
"src\utils\hooks.ts","4913","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","hook-lifecycle","implement, remove, or mark release-excluded with owner evidence","// TODO: If the hook came from a plugin, use the full path to the plugin for easier debugging"
"src\utils\hooks\hooksSettings.ts","179","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","hook-lifecycle","implement, remove, or mark release-excluded with owner evidence","// TODO: Get the actual plugin hook file paths instead of using glob pattern"
"src\utils\http.ts","95","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","config-settings","implement, remove, or mark release-excluded with owner evidence","// TODO: this will fail if the API key is being set to an LLM Gateway key"
"src\utils\messages.ts","2516","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","context-recovery","implement, remove, or mark release-excluded with owner evidence","// TODO: This needs patching as recursive fields can still be stringified"
"src\utils\plugins\marketplaceManager.ts","1644","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","mcp-skill-registry","implement, remove, or mark release-excluded with owner evidence","// TODO: Implement npm package support"
"src\utils\plugins\pluginLoader.ts","3069","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","mcp-skill-registry","implement, remove, or mark release-excluded with owner evidence","// TODO: Clear installed plugins cache when installedPluginsManager is implemented"
"src\utils\plugins\pluginOptionsStorage.ts","144","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","mcp-skill-registry","implement, remove, or mark release-excluded with owner evidence","// TODO: getSettings_DEPRECATED returns MERGED settings across all scopes."
"src\utils\plugins\schemas.ts","457","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","api-contract-types","implement, remove, or mark release-excluded with owner evidence","// TODO (future work): allow globs?"
"src\utils\plugins\schemas.ts","488","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","api-contract-types","implement, remove, or mark release-excluded with owner evidence","// TODO (future work): allow globs?"
"src\utils\plugins\schemas.ts","1183","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","api-contract-types","implement, remove, or mark release-excluded with owner evidence","// TODO (future work) gist"
"src\utils\plugins\schemas.ts","1184","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","api-contract-types","implement, remove, or mark release-excluded with owner evidence","// TODO (future work) single file?"
"src\utils\processUserInput\processBashCommand.tsx","48","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","query-loop","implement, remove, or mark release-excluded with owner evidence","// TODO: Clean up this hack"
"src\utils\processUserInput\processUserInput.ts","200","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","query-loop","implement, remove, or mark release-excluded with owner evidence","// TODO: Make this an attachment message"
"src\utils\processUserInput\processUserInput.ts","242","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","query-loop","implement, remove, or mark release-excluded with owner evidence","// TODO: Clean this up"
"src\utils\promptCategory.ts","21","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","config-settings","implement, remove, or mark release-excluded with owner evidence","// TODO: avoid this cast"
"src\utils\secureStorage\index.ts","14","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","config-settings","implement, remove, or mark release-excluded with owner evidence","// TODO: add libsecret support for Linux"
"src\utils\swarm\backends\ITermBackend.ts","211","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","agent-task-lifecycle","implement, remove, or mark release-excluded with owner evidence","// TODO: Consider batching these or making them async/fire-and-forget"
"src\utils\swarm\backends\ITermBackend.ts","281","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","agent-task-lifecycle","implement, remove, or mark release-excluded with owner evidence","'[ITermBackend] Pane rebalancing not implemented for iTerm2',"
"src\utils\thinking.ts","93","stub_or_incomplete","BLOCKER_REVIEW","explicit_incomplete_marker_requires_owner_action","model-router-cost","implement, remove, or mark release-excluded with owner evidence","// TODO(inigo): add support for probing unknown models via API error detection"
"src\assistant\sessionHistory.ts","8","runtime_duplication_pressure","OWNER_REVIEW","runtime_duplication_pressure_review","context-recovery","prove facade/test-only/owner migration; no second product runtime","const LEGACY_BETA_HEADER = 'anth' + 'ropic-beta'"
"src\assistant\sessionHistory.ts","40","runtime_duplication_pressure","OWNER_REVIEW","runtime_duplication_pressure_review","context-recovery","prove facade/test-only/owner migration; no second product runtime","[LEGACY_BETA_HEADER]: 'ccr-byoc-2025-07-29',"
"src\bootstrap\state.ts","78","stub_or_incomplete","OWNER_REVIEW","placeholder_ui_or_schema_review","cli-command-transport","prove placeholder is user-facing UI/schema behavior, not unfinished runtime","// repairing with synthetic placeholders. HFI opts in at startup so"
"src\bootstrap\state.ts","204","runtime_duplication_pressure","OWNER_REVIEW","runtime_duplication_pressure_review","cli-command-transport","prove facade/test-only/owner migration; no second product runtime","// Session-only REPL bridge activity flag used by bridge-aware tools."
"src\bootstrap\state.ts","205","runtime_duplication_pressure","OWNER_REVIEW","runtime_duplication_pressure_review","cli-command-transport","prove facade/test-only/owner migration; no second product runtime","replBridgeActive: boolean"
