"relative_path","top_dir","ext","bytes","lines","imports","exports","symbol_signal_count","owner_family","primary_experience_signal","experience_signal_categories","telemetry_data_hits","memory_context_hits","ui_interaction_hits","tool_runtime_hits","permission_safety_hits","recovery_remote_hits","coding_workflow_hits","provider_model_hits","plugin_mcp_skill_hits","contains_inline_sourcemap","dsxu_v20_action"
"bridge/inboundMessages.ts","bridge",".ts","2727","81","4","2","6","experience_ui","memory_context","memory_context;ui_interaction;recovery_remote;provider_model;plugin_mcp_skill","0","1","9","0","0","5","0","2","1","no","adapt_or_exclude_product_specific"
"bridge/initReplBridge.ts","bridge",".ts","23849","570","31","2","35","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","58","105","78","20","44","153","24","38","41","no","adapt_or_exclude_product_specific"
"bridge/jwtUtils.ts","bridge",".ts","9444","257","5","3","30","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","60","62","2","1","0","35","4","1","13","no","absorb_into_dsxu_mainline"
"bridge/pollConfig.ts","bridge",".ts","4562","111","4","1","5","mcp_skill_plugin","permission_safety","telemetry_data;memory_context;ui_interaction;permission_safety;recovery_remote;provider_model;plugin_mcp_skill","1","11","4","0","5","18","0","2","1","no","adapt_or_exclude_product_specific"
"bridge/pollConfigDefaults.ts","bridge",".ts","4018","83","0","2","5","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;tool_runtime;permission_safety;recovery_remote;coding_workflow;plugin_mcp_skill","2","22","0","2","2","20","2","0","8","no","adapt_or_exclude_product_specific"
"bridge/remoteBridgeCore.ts","bridge",".ts","39434","1009","25","4","50","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","93","124","125","41","49","281","99","35","146","no","adapt_or_exclude_product_specific"
"bridge/replBridge.ts","bridge",".ts","100537","2407","28","6","110","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","109","345","217","112","103","538","175","72","307","no","adapt_or_exclude_product_specific"
"bridge/replBridgeHandle.ts","bridge",".ts","1473","37","3","3","4","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model","2","14","0","3","1","24","1","1","0","no","absorb_into_dsxu_mainline"
"bridge/replBridgeTransport.ts","bridge",".ts","15523","371","9","3","9","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","19","37","23","58","6","58","72","4","57","no","adapt_or_exclude_product_specific"
"bridge/sessionIdCompat.ts","bridge",".ts","2536","58","0","3","3","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","2","28","0","2","9","13","4","1","2","no","adapt_or_exclude_product_specific"
"bridge/sessionRunner.ts","bridge",".ts","18020","551","8","4","32","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","24","97","50","64","24","29","58","13","6","no","adapt_or_exclude_product_specific"
"bridge/trustedDevice.ts","bridge",".ts","7764","211","10","4","15","permission_gate","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","49","8","9","15","60","11","21","27","12","no","adapt_or_exclude_product_specific"
"bridge/types.ts","bridge",".ts","10161","263","0","19","4","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","13","92","36","9","15","48","31","18","7","no","adapt_or_exclude_product_specific"
"bridge/workSecret.ts","bridge",".ts","4672","128","3","5","17","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model","7","21","0","4","16","6","8","14","0","no","adapt_or_exclude_product_specific"
"buddy/companion.ts","buddy",".ts","3715","134","2","5","20","unclassified_support","coding_workflow","telemetry_data;ui_interaction;tool_runtime;permission_safety;coding_workflow;provider_model;plugin_mcp_skill","8","0","1","6","1","0","6","5","2","no","adapt_or_exclude_product_specific"
"buddy/CompanionSprite.tsx","buddy",".tsx","45922","371","15","4","50","unclassified_support","coding_workflow","ui_interaction;tool_runtime;recovery_remote;coding_workflow","0","0","39","6","0","2","10","0","0","yes","adapt_or_exclude_product_specific"
"buddy/prompt.ts","buddy",".ts","1451","37","5","2","3","unclassified_support","coding_workflow","ui_interaction;tool_runtime;coding_workflow","0","0","7","3","0","0","3","0","0","no","adapt_or_exclude_product_specific"
"buddy/sprites.ts","buddy",".ts","9797","515","2","3","6","unclassified_support","permission_safety","ui_interaction;permission_safety","0","0","2","0","1","0","0","0","0","no","adapt_or_exclude_product_specific"
"buddy/types.ts","buddy",".ts","3805","149","0","35","27","support_util","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;coding_workflow;provider_model","1","2","2","3","1","0","4","2","0","no","adapt_or_exclude_product_specific"
"buddy/useBuddyNotification.tsx","buddy",".tsx","9959","98","7","4","8","unclassified_support","coding_workflow","memory_context;ui_interaction;tool_runtime;recovery_remote;coding_workflow;provider_model","0","1","17","2","0","1","2","1","0","yes","adapt_or_exclude_product_specific"
"cli/exit.ts","cli",".ts","1310","32","0","2","2","unclassified_support","coding_workflow","ui_interaction;tool_runtime;coding_workflow;provider_model;plugin_mcp_skill","0","0","2","7","0","0","10","2","2","no","review_candidate"
"cli/handlers/agents.ts","cli",".ts","2089","71","3","1","9","agent_lifecycle","tool_runtime","memory_context;ui_interaction;tool_runtime;provider_model","0","3","3","4","0","0","0","6","0","no","absorb_into_dsxu_mainline"
"cli/handlers/auth.ts","cli",".ts","10756","331","18","4","31","unclassified_support","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;coding_workflow;provider_model;plugin_mcp_skill","72","7","12","19","0","0","25","85","49","no","adapt_or_exclude_product_specific"
"cli/handlers/autoMode.ts","cli",".ts","5742","171","6","3","15","unclassified_support","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;coding_workflow;provider_model","1","3","3","12","21","0","15","16","0","no","review_candidate"
"cli/handlers/mcp.tsx","cli",".tsx","56167","362","20","7","32","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","24","14","25","15","23","1","24","17","222","yes","adapt_or_exclude_product_specific"
"cli/handlers/plugins.ts","cli",".ts","31073","879","22","13","56","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;coding_workflow;provider_model;plugin_mcp_skill","34","15","25","10","0","0","27","13","278","no","absorb_into_dsxu_mainline"
"cli/handlers/util.tsx","cli",".tsx","14501","110","13","3","5","unclassified_support","coding_workflow","telemetry_data;ui_interaction;tool_runtime;coding_workflow;provider_model;plugin_mcp_skill","11","0","15","1","0","0","12","11","17","yes","adapt_or_exclude_product_specific"
"cli/ndjsonSafeStringify.ts","cli",".ts","1408","33","1","1","2","unclassified_support","permission_safety","ui_interaction;permission_safety;plugin_mcp_skill","0","0","2","0","2","0","0","0","2","no","review_candidate"
"cli/print.ts","cli",".ts","212735","5595","148","12","330","unclassified_support","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","102","388","759","580","308","443","342","371","951","no","adapt_or_exclude_product_specific"
"cli/remoteIO.ts","cli",".ts","9946","256","23","1","11","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","16","28","28","25","6","26","29","5","32","no","adapt_or_exclude_product_specific"
"cli/structuredIO.ts","cli",".ts","28720","860","27","2","43","unclassified_support","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","4","39","146","151","142","67","27","8","24","no","adapt_or_exclude_product_specific"
"cli/transports/ccrClient.ts","cli",".ts","33775","999","15","8","46","unclassified_support","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","22","83","99","50","15","113","83","14","21","no","adapt_or_exclude_product_specific"
"cli/transports/HybridTransport.ts","cli",".ts","10883","283","7","1","10","unclassified_support","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","16","19","30","20","2","55","42","3","21","no","review_candidate"
"cli/transports/SerialBatchEventUploader.ts","cli",".ts","9089","276","1","2","12","unclassified_support","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","1","2","2","4","2","33","5","1","4","no","review_candidate"
"cli/transports/SSETransport.ts","cli",".ts","23758","712","10","3","40","unclassified_support","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","25","29","37","24","4","92","73","11","59","no","adapt_or_exclude_product_specific"
"cli/transports/transportUtils.ts","cli",".ts","1767","46","6","1","2","support_util","coding_workflow","memory_context;ui_interaction;tool_runtime;coding_workflow;provider_model;plugin_mcp_skill","0","8","1","8","0","0","8","4","20","no","review_absorb_as_shared_utility_only_if_imported"
"cli/transports/WebSocketTransport.ts","cli",".ts","28195","801","12","2","45","unclassified_support","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","35","28","84","13","7","116","35","8","65","no","review_candidate"
"cli/transports/WorkerStateUploader.ts","cli",".ts","3879","132","1","1","8","unclassified_support","coding_workflow","memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;plugin_mcp_skill","0","1","1","1","1","9","2","0","4","no","review_candidate"
"cli/update.ts","cli",".ts","14487","423","14","1","21","unclassified_support","coding_workflow","telemetry_data;ui_interaction;tool_runtime;permission_safety;coding_workflow;provider_model;plugin_mcp_skill","29","0","13","98","3","0","175","32","14","no","adapt_or_exclude_product_specific"
"commands.ts","<root>",".ts","25185","755","105","19","50","coding_workflow","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","31","43","52","23","27","41","43","56","186","no","adapt_or_exclude_product_specific"
"commands/add-dir/add-dir.tsx","commands",".tsx","18017","126","14","1","12","coding_workflow","coding_workflow","memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model","0","24","26","5","27","4","4","6","0","yes","adapt_or_exclude_product_specific"
"commands/add-dir/index.ts","commands",".ts","260","12","1","1","1","coding_workflow","coding_workflow","","0","0","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/add-dir/validation.ts","commands",".ts","3207","111","7","3","7","coding_workflow","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;coding_workflow","2","5","2","8","6","0","5","0","0","no","absorb_into_dsxu_mainline"
"commands/advisor.ts","commands",".ts","3182","110","6","1","7","coding_workflow","coding_workflow","memory_context;tool_runtime;coding_workflow;provider_model","0","6","0","4","0","0","4","55","0","no","absorb_into_dsxu_mainline"
"commands/agents/agents.tsx","commands",".tsx","2500","12","5","1","4","agent_lifecycle","permission_safety","memory_context;ui_interaction;tool_runtime;permission_safety","0","7","1","10","3","0","0","0","0","yes","absorb_into_dsxu_mainline"
"commands/agents/index.ts","commands",".ts","232","11","1","1","1","agent_lifecycle","agent_lifecycle","","0","0","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/ant-trace/index.js","commands",".js","73","2","0","1","0","coding_workflow","telemetry_data","telemetry_data","1","0","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/autofix-pr/index.js","commands",".js","73","2","0","1","0","coding_workflow","coding_workflow","","0","0","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/backfill-sessions/index.js","commands",".js","73","2","0","1","0","coding_workflow","memory_context","memory_context","0","1","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/branch/branch.ts","commands",".ts","9580","297","11","2","29","coding_workflow","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;recovery_remote;coding_workflow;provider_model","4","72","44","9","0","12","18","6","0","no","adapt_or_exclude_product_specific"
"commands/branch/index.ts","commands",".ts","445","15","2","1","1","coding_workflow","coding_workflow","","0","0","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/break-cache/index.js","commands",".js","73","2","0","1","0","coding_workflow","provider_model","provider_model","0","0","0","0","0","0","0","1","0","no","absorb_into_dsxu_mainline"
"commands/bridge/bridge.tsx","commands",".tsx","46907","509","20","1","25","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model","11","20","42","5","10","92","2","9","0","yes","adapt_or_exclude_product_specific"
"commands/bridge/index.ts","commands",".ts","604","27","3","1","1","mcp_skill_plugin","memory_context","memory_context;recovery_remote","0","1","0","0","0","11","0","0","0","no","absorb_into_dsxu_mainline"
"commands/bridge-kick.ts","commands",".ts","6703","201","3","1","8","mcp_skill_plugin","coding_workflow","telemetry_data;memory_context;ui_interaction;permission_safety;recovery_remote;coding_workflow;plugin_mcp_skill","4","6","21","0","6","82","23","0","2","no","absorb_into_dsxu_mainline"
"commands/brief.ts","commands",".ts","5173","131","10","1","7","coding_workflow","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model","8","11","6","23","9","2","1","8","0","no","adapt_or_exclude_product_specific"
"commands/btw/btw.tsx","commands",".tsx","30250","243","25","1","16","coding_workflow","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","1","46","54","8","10","10","8","18","1","yes","adapt_or_exclude_product_specific"
"commands/btw/index.ts","commands",".ts","314","14","1","1","1","coding_workflow","coding_workflow","","0","0","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/bughunter/index.js","commands",".js","73","2","0","1","0","coding_workflow","coding_workflow","","0","0","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/chrome/chrome.tsx","commands",".tsx","31974","285","13","1","18","coding_workflow","coding_workflow","telemetry_data;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","1","0","22","4","10","9","5","37","9","yes","adapt_or_exclude_product_specific"
"commands/chrome/index.ts","commands",".ts","381","14","2","1","0","coding_workflow","memory_context","memory_context;provider_model","0","2","0","0","0","0","0","3","0","no","adapt_or_exclude_product_specific"
"commands/clear/caches.ts","commands",".ts","6370","145","21","1","2","coding_workflow","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","9","50","5","24","6","3","29","62","21","no","absorb_into_dsxu_mainline"
"commands/clear/clear.ts","commands",".ts","254","8","2","1","0","coding_workflow","memory_context","memory_context","0","2","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/clear/conversation.ts","commands",".ts","9325","252","21","1","7","coding_workflow","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","7","63","21","86","2","25","21","18","12","no","absorb_into_dsxu_mainline"
"commands/clear/index.ts","commands",".ts","603","20","1","1","1","coding_workflow","memory_context","memory_context;provider_model","0","4","0","0","0","0","0","2","0","no","absorb_into_dsxu_mainline"
"commands/color/color.ts","commands",".ts","2712","94","7","1","9","coding_workflow","tool_runtime","memory_context;ui_interaction;tool_runtime;provider_model","0","27","5","5","0","0","0","1","0","no","absorb_into_dsxu_mainline"
"commands/color/index.ts","commands",".ts","417","17","1","1","1","coding_workflow","memory_context","memory_context","0","1","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/commit.ts","commands",".ts","3492","93","4","1","6","coding_workflow","coding_workflow","memory_context;ui_interaction;tool_runtime;permission_safety;coding_workflow","0","7","13","11","11","0","27","0","0","no","absorb_into_dsxu_mainline"
"commands/commit-push-pr.ts","commands",".ts","6309","159","5","1","14","coding_workflow","coding_workflow","memory_context;ui_interaction;tool_runtime;permission_safety;coding_workflow;provider_model;plugin_mcp_skill","0","11","13","18","18","0","61","6","4","no","adapt_or_exclude_product_specific"
"commands/compact/compact.ts","commands",".ts","10079","288","22","1","15","model_cost_context","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","1","186","98","17","3","12","13","19","1","no","absorb_into_dsxu_mainline"
"commands/compact/index.ts","commands",".ts","530","16","2","1","1","model_cost_context","memory_context","memory_context","0","10","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/config/config.tsx","commands",".tsx","1408","7","3","1","0","coding_workflow","memory_context","memory_context;ui_interaction","0","3","1","0","0","0","0","0","0","yes","absorb_into_dsxu_mainline"
"commands/config/index.ts","commands",".ts","247","12","1","1","1","coding_workflow","coding_workflow","","0","0","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/context/context.tsx","commands",".tsx","9099","64","10","1","7","model_cost_context","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;coding_workflow;provider_model","5","35","25","4","1","0","1","13","0","yes","absorb_into_dsxu_mainline"
"commands/context/context-noninteractive.ts","commands",".ts","10781","326","11","2","15","model_cost_context","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;permission_safety;coding_workflow;provider_model;plugin_mcp_skill","73","68","57","49","4","0","8","14","23","no","absorb_into_dsxu_mainline"
"commands/context/index.ts","commands",".ts","695","25","2","2","0","model_cost_context","memory_context","telemetry_data;memory_context;provider_model","2","13","0","0","0","0","0","1","0","no","absorb_into_dsxu_mainline"
"commands/copy/copy.tsx","commands",".tsx","42252","371","22","3","45","coding_workflow","coding_workflow","telemetry_data;memory_context;ui_interaction;tool_runtime;recovery_remote;coding_workflow;provider_model;plugin_mcp_skill","17","2","97","23","0","3","28","8","4","yes","absorb_into_dsxu_mainline"
"commands/copy/index.ts","commands",".ts","393","16","1","1","1","coding_workflow","coding_workflow","coding_workflow;provider_model","0","0","0","0","0","0","1","1","0","no","absorb_into_dsxu_mainline"
"commands/cost/cost.ts","commands",".ts","909","25","4","1","0","model_cost_context","telemetry_data","telemetry_data;provider_model","9","0","0","0","0","0","0","7","0","no","adapt_or_exclude_product_specific"
"commands/cost/index.ts","commands",".ts","668","24","2","1","1","model_cost_context","memory_context","telemetry_data;memory_context;provider_model","9","1","0","0","0","0","0","2","0","no","adapt_or_exclude_product_specific"
"commands/createMovedToPluginCommand.ts","commands",".ts","1789","66","3","1","1","coding_workflow","coding_workflow","memory_context;ui_interaction;tool_runtime;coding_workflow;provider_model;plugin_mcp_skill","0","6","7","5","0","0","2","5","15","no","adapt_or_exclude_product_specific"
"commands/ctx_viz/index.js","commands",".js","73","2","0","1","0","coding_workflow","coding_workflow","","0","0","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/debug-tool-call/index.js","commands",".js","73","2","0","1","0","coding_workflow","tool_runtime","tool_runtime","0","0","0","1","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/desktop/desktop.tsx","commands",".tsx","1645","9","3","1","1","coding_workflow","ui_interaction","ui_interaction;provider_model","0","0","4","0","0","0","0","1","0","yes","absorb_into_dsxu_mainline"
"commands/desktop/index.ts","commands",".ts","601","27","1","1","1","coding_workflow","memory_context","memory_context;provider_model","0","1","0","0","0","0","0","2","0","no","absorb_into_dsxu_mainline"
"commands/diff/diff.tsx","commands",".tsx","1461","9","2","1","0","coding_workflow","coding_workflow","memory_context;ui_interaction;coding_workflow","0","2","6","0","0","0","6","0","0","yes","absorb_into_dsxu_mainline"
"commands/diff/index.ts","commands",".ts","221","9","1","1","0","coding_workflow","coding_workflow","coding_workflow","0","0","0","0","0","0","4","0","0","no","absorb_into_dsxu_mainline"
"commands/doctor/doctor.tsx","commands",".tsx","1309","7","3","1","0","coding_workflow","coding_workflow","memory_context;ui_interaction;coding_workflow","0","1","1","0","0","0","5","0","0","yes","absorb_into_dsxu_mainline"
"commands/doctor/index.ts","commands",".ts","381","13","2","1","0","coding_workflow","coding_workflow","coding_workflow;provider_model","0","0","0","0","0","0","6","1","0","no","absorb_into_dsxu_mainline"
"commands/effort/effort.tsx","commands",".tsx","22128","183","8","3","22","coding_workflow","coding_workflow","telemetry_data;memory_context;ui_interaction;coding_workflow;provider_model;plugin_mcp_skill","8","6","23","0","0","0","5","13","1","yes","absorb_into_dsxu_mainline"
"commands/effort/index.ts","commands",".ts","428","14","2","1","0","coding_workflow","telemetry_data","telemetry_data;provider_model","1","0","0","0","0","0","0","1","0","no","absorb_into_dsxu_mainline"
"commands/env/index.js","commands",".js","73","2","0","1","0","coding_workflow","coding_workflow","","0","0","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
"commands/exit/exit.tsx","commands",".tsx","5272","33","9","1","3","coding_workflow","coding_workflow","memory_context;ui_interaction;recovery_remote;coding_workflow;provider_model","0","7","6","0","0","2","8","2","0","yes","absorb_into_dsxu_mainline"
"commands/exit/index.ts","commands",".ts","250","13","1","1","1","coding_workflow","coding_workflow","","0","0","0","0","0","0","0","0","0","no","absorb_into_dsxu_mainline"
