"path","ownerPacket","replacementOwner","activeImportReferenceStatus","reviewDecision"
"src/dsxu/engine/__tests__/owner-git-mainline-keep-review-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/owner-git-replace-delete-review-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/pending-deletion-owner-review-rollup-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/pending-deletion-release-excluded-archive-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/pending-deletion-review-lanes-register-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/pending-deletion-review-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/query-context-mainline-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/release-closure-board-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/skills-mainline-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/skills-prompt-stack-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/skills-selection-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/task-lifecycle-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/tool-evidence-pack-contract-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/tool-mainline-v1-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/tool-runtime-dirty-review-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/v10-3x-core-runtime-clean.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/v18-public-surface-clean-gate-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/v18-release-provenance-gate-v1.test.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/audit_v10_3_strict.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/clean-export-readiness-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/dirty-worktree-review-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/final-release-preflight-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/mainline-dirty-review-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/owner-git-import-use-evidence-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/owner-git-mainline-keep-review-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/owner-git-replace-delete-review-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/pending-deletion-owner-review-rollup-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/pending-deletion-release-excluded-archive-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/pending-deletion-review-lanes-register-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/pending-deletion-review-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/release-closure-board-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/tool-runtime-dirty-review-v1.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/v18-dirty-quarantine-ledger.ts","V20-OGR-02-delete-old-evidence-review-runtime","docs/generated owner evidence, CLEAN release evidence, or named V20 evidence owner; old evidence runtimes are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/constants/legacyProviderProtocol.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/control-plane/controlCompatProtocol.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/legacy-mainline-dirty-review-v1.test.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/legacy-model-compat-isolation-v1.test.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/__tests__/legacy-provider-model-migration-boundary-v1.test.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/legacy-mainline-dirty-review-v1.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/provider-backend/bounded-uuid-set.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/provider-backend/dsxu-provider-compat.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/provider-backend/dsxu-remote-permission-bridge.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/provider-backend/dsxu-remote-session-manager.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/provider-backend/dsxu-sdk-message-adapter.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/engine/provider-backend/local-provider-backend.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/integration/harness/c16-shell-full-audit-matrix.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/integration/harness/clean-export-readiness-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/integration/harness/deferred-product-absorption-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/integration/harness/dirty-worktree-review-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/integration/harness/final-release-preflight-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/integration/harness/legacy-mainline-dirty-review-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/integration/harness/mainline-dirty-review-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/integration/harness/owner-git-closure-board-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/integration/harness/owner-git-import-use-evidence-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/integration/harness/owner-git-mainline-keep-review-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/integration/harness/owner-git-replace-delete-review-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
"src/dsxu/integration/harness/owner-git-signoff-register-v1-harness.ts","V20-OGR-02-delete-old-provider-legacy-harness","provider-migration source owner or DeepSeek mainline provider owner; old provider files are replace/delete candidates","PASS: refreshed targeted scan leaves no active product imports for deleted engine built-in tools, deleted dirty-review runtime, or deleted engine MCP runtime; remaining hits are test guard strings or named mainline owners","ready-for-delete-signoff-after-owner-review"
