"id","scope","loop","owner","claudeFileHits","dsxuFileHits","signalStatus","acceptanceStatus","requiredEvidence"
"S14","secondary-loop","skill and command intake","Skill Registry","1039","1421","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S15","secondary-loop","browser and external action","External Provider","477","559","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S16","secondary-loop","IDE/API entry","IDE/API Bridge","1324","1810","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S17","secondary-loop","agent ownership boundary","Agent Lifecycle","696","945","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S18","secondary-loop","agent evidence synthesis","Agent Lifecycle","864","1451","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S19","secondary-loop","parallel cancel and recovery","Agent Lifecycle","709","1120","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S20","secondary-loop","context compact","Context Recovery","885","1341","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S21","secondary-loop","resume source reread","Context Recovery","1117","1095","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S22","secondary-loop","failure classification","Recovery","919","1457","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S23","secondary-loop","test failure repair path","Coding Workflow","988","1600","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S24","secondary-loop","provider retry/escalation","Model Router","1582","2253","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S25","secondary-loop","thinking trajectory return","DeepSeek Runtime","161","256","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S26","secondary-loop","FIM edit lane","DeepSeek Runtime","118","186","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S27","secondary-loop","cache/prefix ROI","DeepSeek Runtime","1227","1514","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S28","secondary-loop","cost visibility","Cost Evidence","523","779","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S29","secondary-loop","progress visibility","Work-State","667","983","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S30","secondary-loop","UI/TUI input experience","UI/TUI","1389","1990","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S31","secondary-loop","final answer evidence","Evidence","441","922","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S32","secondary-loop","telemetry and report","Evidence","267","583","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S33","secondary-loop","public challenge packaging","Product Data","634","771","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S34","secondary-loop","performance and experience data","Product Data","773","912","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S35","secondary-loop","license/IP/brand guard","Commercial/IP","61","80","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
"S36","secondary-loop","release/install/doctor","Release","1902","2410","SIGNAL_PRESENT_NEEDS_BEHAVIOR_EVIDENCE","OPEN_BEHAVIOR_EVIDENCE_REQUIRED","real DSXU behavior evidence, not owner-disposition or signal count"
