id,domain,capability,historicalStatus,acceptanceDecision,evidenceStrength,strictPublicClaimAllowed,dsxuFitTier,dsxuFitReason,dsxuOwner,v18Meaning,risk,nextAction
"C04","core-runtime","PermissionGate","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C05","core-runtime","IntentRouter","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C07","core-runtime","ContextCompiler","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C08","core-runtime","TokenFirewall","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C09","core-runtime","CostRouter","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C10","core-runtime","PlanGraph","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C11","core-runtime","ToolBus","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C12","core-runtime","VerificationKernel","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C13","core-runtime","Snapshot/Rollback","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C14","core-runtime","FailureTaxonomy","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C15","core-runtime","TraceLogger","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C16","core-runtime","CostReporter","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A01","code-mode","RepoProbe","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A02","code-mode","RepoIndex","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A03","code-mode","LSP/AST Locator","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A04","code-mode","Error Parser","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A05","code-mode","Bug Locator Ensemble","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A06","code-mode","CodeContextPack","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A07","code-mode","Patch Planner","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A08","code-mode","Unified Diff Generator","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A09","code-mode","Patch Applier","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A10","code-mode","Test Runner","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A11","code-mode","Code RepairLoop","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A15","code-mode","FinalPatchReport","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A16","code-mode","Internal Code-10/30 Runner","PASS","adapted/subset+tested","source+tests+live","false","sellable-with-boundary","适合 DSXU，但必须写成 DSXU 自有子集/适配能力，不能扩大成完整外部功能或参考产品 parity。","Code-mode repair / patch / verification owner","能力已按 DSXU 目标改造或子集化，不是原名完整功能。","公开卖点必须写 DSXU 自有边界，不能写成完整参考功能或外部评测通过。","补充 claim-limited 文案和 live 示例；不能扩大为 full feature claim。"
"B01","terminal-mode","ShellStateManager","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Tool/terminal lifecycle owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"B02","terminal-mode","EnvironmentProbe","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Tool/terminal lifecycle owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"B03","terminal-mode","CommandPlanner","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Tool/terminal lifecycle owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"B04","terminal-mode","SafeShellExecutor","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Tool/terminal lifecycle owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"B05","terminal-mode","OutputSummarizer","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Tool/terminal lifecycle owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"B06","terminal-mode","FileSystemState","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Tool/terminal lifecycle owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"B07","terminal-mode","CommandVerifier","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Tool/terminal lifecycle owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"B08","terminal-mode","ScriptSynthesizer","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Tool/terminal lifecycle owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"B09","terminal-mode","Terminal FailureRepairLoop","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Tool/terminal lifecycle owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"B10","terminal-mode","TimeoutGuard","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Tool/terminal lifecycle owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"B11","terminal-mode","ArtifactChecker","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Tool/terminal lifecycle owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"B12","terminal-mode","TerminalBench Subset Adapter","PASS","adapted/subset+tested","source+tests+live","false","sellable-with-boundary","适合 DSXU，但必须写成 DSXU 自有子集/适配能力，不能扩大成完整外部功能或参考产品 parity。","Tool/terminal lifecycle owner","能力已按 DSXU 目标改造或子集化，不是原名完整功能。","公开卖点必须写 DSXU 自有边界，不能写成完整参考功能或外部评测通过。","补充 claim-limited 文案和 live 示例；不能扩大为 full feature claim。"
"B13","terminal-mode","Internal Terminal-10/30 Runner","PASS","adapted/subset+tested","source+tests+live","false","sellable-with-boundary","适合 DSXU，但必须写成 DSXU 自有子集/适配能力，不能扩大成完整外部功能或参考产品 parity。","Tool/terminal lifecycle owner","能力已按 DSXU 目标改造或子集化，不是原名完整功能。","公开卖点必须写 DSXU 自有边界，不能写成完整参考功能或外部评测通过。","补充 claim-limited 文案和 live 示例；不能扩大为 full feature claim。"
"B14","terminal-mode","TerminalResultPackager","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Tool/terminal lifecycle owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"E01","evaluation-reporting","Baseline Runner","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Evidence / benchmark / public challenge owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"E02","evaluation-reporting","Ablation Runner","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Evidence / benchmark / public challenge owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"E03","evaluation-reporting","Cost Eval Reporter","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Evidence / benchmark / public challenge owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"E04","evaluation-reporting","Failure Reporter","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Evidence / benchmark / public challenge owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"E05","evaluation-reporting","Trace Collector","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Evidence / benchmark / public challenge owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"E06","evaluation-reporting","Go/Stop Decision","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Evidence / benchmark / public challenge owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"R01","benchmark-map","Terminal-Bench 2.0","DEFERRED_NOT_PASS","deferred-not-pass","deferred","false","deferred-or-not-suitable-now","当前缺主线实现或 raw/live 证据，只能 roadmap/deferred，不能写进 PASS 或卖点。","Evidence / benchmark / public challenge owner","V18/V19 明确未覆盖，不能当 PASS。","如果写成已实现，会把 roadmap 或外部 benchmark 坐标冒充产品能力。","保留为 deferred/roadmap；只有真实代码、测试、live/raw 证据齐后才能转入 PASS。"
"R02","benchmark-map","Internal Code-30","DEFERRED_NOT_PASS","deferred-not-pass","deferred","false","deferred-or-not-suitable-now","当前缺主线实现或 raw/live 证据，只能 roadmap/deferred，不能写进 PASS 或卖点。","Evidence / benchmark / public challenge owner","V18/V19 明确未覆盖，不能当 PASS。","如果写成已实现，会把 roadmap 或外部 benchmark 坐标冒充产品能力。","保留为 deferred/roadmap；只有真实代码、测试、live/raw 证据齐后才能转入 PASS。"
"S02","product-mode","BenchMax Mode","DEFERRED_NOT_PASS","deferred-not-pass","deferred","false","deferred-or-not-suitable-now","当前缺主线实现或 raw/live 证据，只能 roadmap/deferred，不能写进 PASS 或卖点。","Query loop / work-state / runtime owner","V18/V19 明确未覆盖，不能当 PASS。","如果写成已实现，会把 roadmap 或外部 benchmark 坐标冒充产品能力。","保留为 deferred/roadmap；只有真实代码、测试、live/raw 证据齐后才能转入 PASS。"
"M07","model-adapter","FIM local completion","PASS","adapted/subset+tested","source+tests+live","false","sellable-with-boundary","适合 DSXU，但必须写成 DSXU 自有子集/适配能力，不能扩大成完整外部功能或参考产品 parity。","DeepSeek runtime / model-cost-cache owner","能力已按 DSXU 目标改造或子集化，不是原名完整功能。","公开卖点必须写 DSXU 自有边界，不能写成完整参考功能或外部评测通过。","补充 claim-limited 文案和 live 示例；不能扩大为 full feature claim。"
"C02","core-runtime","Interactive Session","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C06","core-runtime","SkillRouter core edition","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C17","core-runtime","LocalMemory Lite","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"C18","core-runtime","Anti-Rationalization Guard","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Query loop / work-state / runtime owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A12","code-mode","RegressionGuard Lite","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A13","code-mode","Patch Candidate Search","PASS","implemented+tested","source+tests+live","false","workflow-sellable-now","适合 DSXU 主工作流和 README 功能说明，但不能包装成成本/榜单/外部胜出 claim。","Code-mode repair / patch / verification owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"A14","code-mode","Pro Reviewer","PASS","adapted/subset+tested","source+tests+live","false","sellable-with-boundary","适合 DSXU，但必须写成 DSXU 自有子集/适配能力，不能扩大成完整外部功能或参考产品 parity。","Code-mode repair / patch / verification owner","能力已按 DSXU 目标改造或子集化，不是原名完整功能。","公开卖点必须写 DSXU 自有边界，不能写成完整参考功能或外部评测通过。","补充 claim-limited 文案和 live 示例；不能扩大为 full feature claim。"
"A17","code-mode","SWE Smoke Runner","PASS","adapted/subset+tested","source+tests+live","false","sellable-with-boundary","适合 DSXU，但必须写成 DSXU 自有子集/适配能力，不能扩大成完整外部功能或参考产品 parity。","Code-mode repair / patch / verification owner","能力已按 DSXU 目标改造或子集化，不是原名完整功能。","公开卖点必须写 DSXU 自有边界，不能写成完整参考功能或外部评测通过。","补充 claim-limited 文案和 live 示例；不能扩大为 full feature claim。"
