"suite","id","category","finalPass","firstAttemptPass","secondAttemptPass","cacheHitRatePct","costUsd","wallClockMs","toolResultChars","failureRecoveryEvents","proAdmissionCount","rawTranscriptPath"
"raw-api-vs-dsxu","terminal-result-pack","workflow-lift","true","false","true","80.2","0.002948","21452","4125","1","0",".dsxu/trace/raw-api-vs-dsxu-ab/terminal-result-pack-dsxu-2026-05-19T02-02-19-593Z.jsonl"
"raw-api-vs-dsxu","claim-boundary-guard","workflow-lift","true","false","true","55","0.007354","38302","4541","2","0",".dsxu/trace/raw-api-vs-dsxu-ab/claim-boundary-guard-dsxu-2026-05-19T02-02-44-969Z.jsonl"
"raw-api-vs-dsxu","source-capsule-budget","workflow-lift","true","false","true","54.6","0.00598","27088","3902","2","0",".dsxu/trace/raw-api-vs-dsxu-ab/source-capsule-budget-dsxu-2026-05-19T02-03-26-465Z.jsonl"
"raw-api-vs-dsxu","permission-gate-decision","workflow-lift","true","false","true","66.9","0.005839","22453","4457","3","0",".dsxu/trace/raw-api-vs-dsxu-ab/permission-gate-decision-dsxu-2026-05-19T02-03-56-877Z.jsonl"
"raw-api-vs-dsxu","failure-repair-taxonomy","workflow-lift","true","false","true","79.3","0.00318","24431","3941","1","0",".dsxu/trace/raw-api-vs-dsxu-ab/failure-repair-taxonomy-dsxu-2026-05-19T02-04-23-386Z.jsonl"
"raw-api-vs-dsxu","agent-evidence-envelope","workflow-lift","true","false","true","55.1","0.005742","21674","4654","2","0",".dsxu/trace/raw-api-vs-dsxu-ab/agent-evidence-envelope-dsxu-2026-05-19T02-04-50-705Z.jsonl"
"raw-api-vs-dsxu","mcp-skill-registry","workflow-lift","true","false","true","56.2","0.005394","17099","3832","1","0",".dsxu/trace/raw-api-vs-dsxu-ab/mcp-skill-registry-dsxu-2026-05-19T02-05-15-393Z.jsonl"
"raw-api-vs-dsxu","json-schema-repair","workflow-lift","true","false","true","63.9","0.006857","29779","5702","1","0",".dsxu/trace/raw-api-vs-dsxu-ab/json-schema-repair-dsxu-2026-05-19T02-05-36-462Z.jsonl"
"raw-api-vs-dsxu","workspace-hygiene-classifier","workflow-lift","true","false","true","56","0.005491","18395","3951","1","0",".dsxu/trace/raw-api-vs-dsxu-ab/workspace-hygiene-classifier-dsxu-2026-05-19T02-06-09-217Z.jsonl"
"raw-api-vs-dsxu","route-intent-lock","workflow-lift","true","false","true","56","0.005399","16925","3875","1","0",".dsxu/trace/raw-api-vs-dsxu-ab/route-intent-lock-dsxu-2026-05-19T02-06-30-702Z.jsonl"
"raw-api-vs-dsxu","read-fallback-governor","workflow-lift","true","false","true","56.4","0.00534","17203","3610","1","0",".dsxu/trace/raw-api-vs-dsxu-ab/read-fallback-governor-dsxu-2026-05-19T02-06-50-188Z.jsonl"
"raw-api-vs-dsxu","secret-release-redaction","workflow-lift","true","false","true","71.3","0.008104","49640","5588","3","0",".dsxu/trace/raw-api-vs-dsxu-ab/secret-release-redaction-dsxu-2026-05-19T02-07-11-080Z.jsonl"
"raw-api-vs-dsxu","cost-quality-pareto","workflow-lift","true","false","true","55.9","0.005505","18095","3915","1","0",".dsxu/trace/raw-api-vs-dsxu-ab/cost-quality-pareto-dsxu-2026-05-19T02-08-03-697Z.jsonl"
"raw-api-vs-dsxu","visible-state-projection","workflow-lift","true","false","true","56.4","0.005344","16034","3664","1","0",".dsxu/trace/raw-api-vs-dsxu-ab/visible-state-projection-dsxu-2026-05-19T02-08-24-850Z.jsonl"
