"ownerPacket","path","rawRedlines","adjudication","activeBlockingRedline","ownerDecision"
"V20-OGR-03-tool-permission-lifecycle","src/tools/BriefTool/BriefTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/CollectEvidenceTool/CollectEvidenceTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/ConfigTool/ConfigTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/EnterPlanModeTool/EnterPlanModeTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/EnterWorktreeTool/EnterWorktreeTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/ExitPlanModeTool/ExitPlanModeV2Tool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/ExitWorktreeTool/ExitWorktreeTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/FileEditTool/FileEditTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/FileEditTool/UI.tsx","provider-fallback-runtime","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/FileReadTool/FileReadTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/FileReadTool/UI.tsx","provider-fallback-runtime","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/FileWriteTool/FileWriteTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/FileWriteTool/UI.tsx","provider-fallback-runtime","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/GlobTool/GlobTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/GlobTool/UI.tsx","provider-fallback-runtime","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/GrepTool/GrepTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/GrepTool/UI.tsx","provider-fallback-runtime","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/LSPTool/LSPTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/LSPTool/UI.tsx","provider-fallback-runtime","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/ListMcpResourcesTool/ListMcpResourcesTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/MCPTool/MCPTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/NotebookEditTool/NotebookEditTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/NotebookEditTool/UI.tsx","provider-fallback-runtime","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/PowerShellTool/PowerShellTool.tsx","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/ReadMcpResourceTool/ReadMcpResourceTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/RemoteTriggerTool/RemoteTriggerTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/RunNativeTestTool/RunNativeTestTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/ScheduleCronTool/CronCreateTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/ScheduleCronTool/CronDeleteTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/ScheduleCronTool/CronListTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/SendMessageTool/SendMessageTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/SkillTool/SkillTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/SkillTool/UI.tsx","provider-fallback-runtime","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/SyntheticOutputTool/SyntheticOutputTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/TaskCreateTool/TaskCreateTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/TaskGetTool/TaskGetTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/TaskListTool/TaskListTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/TaskOutputTool/TaskOutputTool.tsx","provider-fallback-runtime;ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/TaskStopTool/TaskStopTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/TaskUpdateTool/TaskUpdateTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/TeamCreateTool/TeamCreateTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/TeamDeleteTool/TeamDeleteTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/TodoWriteTool/TodoWriteTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/ToolSearchTool/ToolSearchTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/WebFetchTool/WebFetchTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/WebSearchTool/WebSearchTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/WorkflowTool/WorkflowTool.ts","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-03-tool-permission-lifecycle","src/tools/testing/TestingPermissionTool.tsx","ui-or-adapter-direct-runtime-execution","MAINLINE_TOOL_LIFECYCLE_OWNER_ALLOWED","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
"V20-OGR-12-shared-platform-utilities","src/utils/ripgrep.ts","ui-or-adapter-direct-runtime-execution","PLATFORM_UTILITY_OWNER_ALLOWED_NOT_TOOL_RUNTIME","no","OWNER_ADJUDICATED_NON_BLOCKING_PENDING_GIT_SIGNOFF"
