id,priority,mechanismArea,mechanismClass,role,phase,title,dsxuOwner,value,deepseekAdaptation,implementationBoundary,acceptanceEvidence
RSB-0011,P0,Goal Contract / Stop Conditions,cognitive-workflow,technical lead,preflight / plan,Goal Contract / Stop Conditions for technical lead during preflight / plan,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：目标保持、计划拆分、长期任务恢复和签收。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行前能看到目标、owner、风险、成本/权限影响和停止条件。
RSB-0012,P0,Goal Contract / Stop Conditions,cognitive-workflow,technical lead,execution / action,Goal Contract / Stop Conditions for technical lead during execution / action,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：目标保持、计划拆分、长期任务恢复和签收。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行时只走 DSXU 主链 owner，事件进入 timeline，工具输出受预算控制。
RSB-0013,P1,Goal Contract / Stop Conditions,cognitive-workflow,technical lead,failure / diagnosis,Goal Contract / Stop Conditions for technical lead during failure / diagnosis,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：目标保持、计划拆分、长期任务恢复和签收。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,失败时能分类、定位、保留原始证据，并给出修复候选。
RSB-0014,P1,Goal Contract / Stop Conditions,cognitive-workflow,technical lead,recovery / retry,Goal Contract / Stop Conditions for technical lead during recovery / retry,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：目标保持、计划拆分、长期任务恢复和签收。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,恢复时复用目标和 source anchors，重试成本、route 和风险可见。
RSB-0015,P2,Goal Contract / Stop Conditions,cognitive-workflow,technical lead,proof / release evidence,Goal Contract / Stop Conditions for technical lead during proof / release evidence,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：目标保持、计划拆分、长期任务恢复和签收。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,完成后有 source/test/live/raw/cost/cache evidence，未达成项降级为 roadmap。
RSB-0016,P0,Goal Contract / Stop Conditions,cognitive-workflow,terminal operator,preflight / plan,Goal Contract / Stop Conditions for terminal operator during preflight / plan,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：命令计划、执行、失败修复、artifact 和 bounded preview。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行前能看到目标、owner、风险、成本/权限影响和停止条件。
RSB-0017,P0,Goal Contract / Stop Conditions,cognitive-workflow,terminal operator,execution / action,Goal Contract / Stop Conditions for terminal operator during execution / action,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：命令计划、执行、失败修复、artifact 和 bounded preview。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行时只走 DSXU 主链 owner，事件进入 timeline，工具输出受预算控制。
RSB-0018,P1,Goal Contract / Stop Conditions,cognitive-workflow,terminal operator,failure / diagnosis,Goal Contract / Stop Conditions for terminal operator during failure / diagnosis,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：命令计划、执行、失败修复、artifact 和 bounded preview。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,失败时能分类、定位、保留原始证据，并给出修复候选。
RSB-0019,P1,Goal Contract / Stop Conditions,cognitive-workflow,terminal operator,recovery / retry,Goal Contract / Stop Conditions for terminal operator during recovery / retry,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：命令计划、执行、失败修复、artifact 和 bounded preview。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,恢复时复用目标和 source anchors，重试成本、route 和风险可见。
RSB-0020,P2,Goal Contract / Stop Conditions,cognitive-workflow,terminal operator,proof / release evidence,Goal Contract / Stop Conditions for terminal operator during proof / release evidence,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：命令计划、执行、失败修复、artifact 和 bounded preview。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,完成后有 source/test/live/raw/cost/cache evidence，未达成项降级为 roadmap。
RSB-0021,P0,Goal Contract / Stop Conditions,cognitive-workflow,release owner,preflight / plan,Goal Contract / Stop Conditions for release owner during preflight / plan,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：发布 gate、claim guard、secret scan、fresh install 和 clean export。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行前能看到目标、owner、风险、成本/权限影响和停止条件。
RSB-0022,P0,Goal Contract / Stop Conditions,cognitive-workflow,release owner,execution / action,Goal Contract / Stop Conditions for release owner during execution / action,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：发布 gate、claim guard、secret scan、fresh install 和 clean export。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行时只走 DSXU 主链 owner，事件进入 timeline，工具输出受预算控制。
RSB-0023,P1,Goal Contract / Stop Conditions,cognitive-workflow,release owner,failure / diagnosis,Goal Contract / Stop Conditions for release owner during failure / diagnosis,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：发布 gate、claim guard、secret scan、fresh install 和 clean export。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,失败时能分类、定位、保留原始证据，并给出修复候选。
RSB-0024,P1,Goal Contract / Stop Conditions,cognitive-workflow,release owner,recovery / retry,Goal Contract / Stop Conditions for release owner during recovery / retry,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：发布 gate、claim guard、secret scan、fresh install 和 clean export。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,恢复时复用目标和 source anchors，重试成本、route 和风险可见。
RSB-0025,P2,Goal Contract / Stop Conditions,cognitive-workflow,release owner,proof / release evidence,Goal Contract / Stop Conditions for release owner during proof / release evidence,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：发布 gate、claim guard、secret scan、fresh install 和 clean export。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,完成后有 source/test/live/raw/cost/cache evidence，未达成项降级为 roadmap。
RSB-0026,P0,Goal Contract / Stop Conditions,cognitive-workflow,security reviewer,preflight / plan,Goal Contract / Stop Conditions for security reviewer during preflight / plan,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：权限、secret、网络、MCP、browser 和插件风险。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行前能看到目标、owner、风险、成本/权限影响和停止条件。
RSB-0027,P0,Goal Contract / Stop Conditions,cognitive-workflow,security reviewer,execution / action,Goal Contract / Stop Conditions for security reviewer during execution / action,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：权限、secret、网络、MCP、browser 和插件风险。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行时只走 DSXU 主链 owner，事件进入 timeline，工具输出受预算控制。
RSB-0028,P1,Goal Contract / Stop Conditions,cognitive-workflow,security reviewer,failure / diagnosis,Goal Contract / Stop Conditions for security reviewer during failure / diagnosis,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：权限、secret、网络、MCP、browser 和插件风险。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,失败时能分类、定位、保留原始证据，并给出修复候选。
RSB-0029,P1,Goal Contract / Stop Conditions,cognitive-workflow,security reviewer,recovery / retry,Goal Contract / Stop Conditions for security reviewer during recovery / retry,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：权限、secret、网络、MCP、browser 和插件风险。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,恢复时复用目标和 source anchors，重试成本、route 和风险可见。
RSB-0030,P2,Goal Contract / Stop Conditions,cognitive-workflow,security reviewer,proof / release evidence,Goal Contract / Stop Conditions for security reviewer during proof / release evidence,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：权限、secret、网络、MCP、browser 和插件风险。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,完成后有 source/test/live/raw/cost/cache evidence，未达成项降级为 roadmap。
RSB-0031,P0,Goal Contract / Stop Conditions,cognitive-workflow,performance engineer,preflight / plan,Goal Contract / Stop Conditions for performance engineer during preflight / plan,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：成本、cache、latency、tool output 和 token budget。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行前能看到目标、owner、风险、成本/权限影响和停止条件。
RSB-0032,P0,Goal Contract / Stop Conditions,cognitive-workflow,performance engineer,execution / action,Goal Contract / Stop Conditions for performance engineer during execution / action,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：成本、cache、latency、tool output 和 token budget。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行时只走 DSXU 主链 owner，事件进入 timeline，工具输出受预算控制。
RSB-0033,P1,Goal Contract / Stop Conditions,cognitive-workflow,performance engineer,failure / diagnosis,Goal Contract / Stop Conditions for performance engineer during failure / diagnosis,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：成本、cache、latency、tool output 和 token budget。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,失败时能分类、定位、保留原始证据，并给出修复候选。
RSB-0034,P1,Goal Contract / Stop Conditions,cognitive-workflow,performance engineer,recovery / retry,Goal Contract / Stop Conditions for performance engineer during recovery / retry,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：成本、cache、latency、tool output 和 token budget。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,恢复时复用目标和 source anchors，重试成本、route 和风险可见。
RSB-0035,P2,Goal Contract / Stop Conditions,cognitive-workflow,performance engineer,proof / release evidence,Goal Contract / Stop Conditions for performance engineer during proof / release evidence,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：成本、cache、latency、tool output 和 token budget。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,完成后有 source/test/live/raw/cost/cache evidence，未达成项降级为 roadmap。
RSB-0036,P0,Goal Contract / Stop Conditions,cognitive-workflow,ecosystem integrator,preflight / plan,Goal Contract / Stop Conditions for ecosystem integrator during preflight / plan,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：MCP、Skill、IDE/API、external adapter 和冲突处理。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行前能看到目标、owner、风险、成本/权限影响和停止条件。
RSB-0037,P0,Goal Contract / Stop Conditions,cognitive-workflow,ecosystem integrator,execution / action,Goal Contract / Stop Conditions for ecosystem integrator during execution / action,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：MCP、Skill、IDE/API、external adapter 和冲突处理。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行时只走 DSXU 主链 owner，事件进入 timeline，工具输出受预算控制。
RSB-0038,P1,Goal Contract / Stop Conditions,cognitive-workflow,ecosystem integrator,failure / diagnosis,Goal Contract / Stop Conditions for ecosystem integrator during failure / diagnosis,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：MCP、Skill、IDE/API、external adapter 和冲突处理。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,失败时能分类、定位、保留原始证据，并给出修复候选。
RSB-0039,P1,Goal Contract / Stop Conditions,cognitive-workflow,ecosystem integrator,recovery / retry,Goal Contract / Stop Conditions for ecosystem integrator during recovery / retry,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：MCP、Skill、IDE/API、external adapter 和冲突处理。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,恢复时复用目标和 source anchors，重试成本、route 和风险可见。
RSB-0040,P2,Goal Contract / Stop Conditions,cognitive-workflow,ecosystem integrator,proof / release evidence,Goal Contract / Stop Conditions for ecosystem integrator during proof / release evidence,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：MCP、Skill、IDE/API、external adapter 和冲突处理。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,完成后有 source/test/live/raw/cost/cache evidence，未达成项降级为 roadmap。
RSB-0041,P0,Goal Contract / Stop Conditions,cognitive-workflow,new user operator,preflight / plan,Goal Contract / Stop Conditions for new user operator during preflight / plan,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：首次 key、doctor、help、demo、错误恢复和信任感。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行前能看到目标、owner、风险、成本/权限影响和停止条件。
RSB-0042,P0,Goal Contract / Stop Conditions,cognitive-workflow,new user operator,execution / action,Goal Contract / Stop Conditions for new user operator during execution / action,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：首次 key、doctor、help、demo、错误恢复和信任感。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行时只走 DSXU 主链 owner，事件进入 timeline，工具输出受预算控制。
RSB-0043,P1,Goal Contract / Stop Conditions,cognitive-workflow,new user operator,failure / diagnosis,Goal Contract / Stop Conditions for new user operator during failure / diagnosis,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：首次 key、doctor、help、demo、错误恢复和信任感。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,失败时能分类、定位、保留原始证据，并给出修复候选。
RSB-0044,P1,Goal Contract / Stop Conditions,cognitive-workflow,new user operator,recovery / retry,Goal Contract / Stop Conditions for new user operator during recovery / retry,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：首次 key、doctor、help、demo、错误恢复和信任感。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,恢复时复用目标和 source anchors，重试成本、route 和风险可见。
RSB-0045,P2,Goal Contract / Stop Conditions,cognitive-workflow,new user operator,proof / release evidence,Goal Contract / Stop Conditions for new user operator during proof / release evidence,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：首次 key、doctor、help、demo、错误恢复和信任感。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,完成后有 source/test/live/raw/cost/cache evidence，未达成项降级为 roadmap。
RSB-0046,P0,Goal Contract / Stop Conditions,cognitive-workflow,maintainer reviewer,preflight / plan,Goal Contract / Stop Conditions for maintainer reviewer during preflight / plan,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：owner packets、dirty 归因、PR/issue、删除候选和长期维护。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行前能看到目标、owner、风险、成本/权限影响和停止条件。
RSB-0047,P0,Goal Contract / Stop Conditions,cognitive-workflow,maintainer reviewer,execution / action,Goal Contract / Stop Conditions for maintainer reviewer during execution / action,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：owner packets、dirty 归因、PR/issue、删除候选和长期维护。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,执行时只走 DSXU 主链 owner，事件进入 timeline，工具输出受预算控制。
RSB-0048,P1,Goal Contract / Stop Conditions,cognitive-workflow,maintainer reviewer,failure / diagnosis,Goal Contract / Stop Conditions for maintainer reviewer during failure / diagnosis,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：owner packets、dirty 归因、PR/issue、删除候选和长期维护。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,失败时能分类、定位、保留原始证据，并给出修复候选。
RSB-0049,P1,Goal Contract / Stop Conditions,cognitive-workflow,maintainer reviewer,recovery / retry,Goal Contract / Stop Conditions for maintainer reviewer during recovery / retry,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：owner packets、dirty 归因、PR/issue、删除候选和长期维护。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,恢复时复用目标和 source anchors，重试成本、route 和风险可见。
RSB-0050,P2,Goal Contract / Stop Conditions,cognitive-workflow,maintainer reviewer,proof / release evidence,Goal Contract / Stop Conditions for maintainer reviewer during proof / release evidence,Query loop / PlanGraph owner,把用户目标、非目标、验收和停止条件保持为长期任务不变量。 角色侧重点：owner packets、dirty 归因、PR/issue、删除候选和长期维护。,让 Flash 默认执行时也有稳定目标摘要；复杂计划升 Flash max，不常驻 Pro。,不能新增第二套 planner；必须接现有 query-loop / work-state timeline。,完成后有 source/test/live/raw/cost/cache evidence，未达成项降级为 roadmap。
RSB-0051,P0,Source Truth / Capsule,cognitive-workflow,senior feature engineer,preflight / plan,Source Truth / Capsule for senior feature engineer during preflight / plan,Code-mode source truth owner,先定位、再范围读取、再修改，避免模型靠旧记忆或全文回灌猜测。 角色侧重点：多文件功能实现、owner 判断、风险控制和回归。,使用 path/hash/anchor/excerpt/riskTags 形成稳定 source capsule。,memory 只能导航，不能替代当前 source truth。,执行前能看到目标、owner、风险、成本/权限影响和停止条件。
RSB-0052,P0,Source Truth / Capsule,cognitive-workflow,senior feature engineer,execution / action,Source Truth / Capsule for senior feature engineer during execution / action,Code-mode source truth owner,先定位、再范围读取、再修改，避免模型靠旧记忆或全文回灌猜测。 角色侧重点：多文件功能实现、owner 判断、风险控制和回归。,使用 path/hash/anchor/excerpt/riskTags 形成稳定 source capsule。,memory 只能导航，不能替代当前 source truth。,执行时只走 DSXU 主链 owner，事件进入 timeline，工具输出受预算控制。
RSB-0053,P1,Source Truth / Capsule,cognitive-workflow,senior feature engineer,failure / diagnosis,Source Truth / Capsule for senior feature engineer during failure / diagnosis,Code-mode source truth owner,先定位、再范围读取、再修改，避免模型靠旧记忆或全文回灌猜测。 角色侧重点：多文件功能实现、owner 判断、风险控制和回归。,使用 path/hash/anchor/excerpt/riskTags 形成稳定 source capsule。,memory 只能导航，不能替代当前 source truth。,失败时能分类、定位、保留原始证据，并给出修复候选。
RSB-0054,P1,Source Truth / Capsule,cognitive-workflow,senior feature engineer,recovery / retry,Source Truth / Capsule for senior feature engineer during recovery / retry,Code-mode source truth owner,先定位、再范围读取、再修改，避免模型靠旧记忆或全文回灌猜测。 角色侧重点：多文件功能实现、owner 判断、风险控制和回归。,使用 path/hash/anchor/excerpt/riskTags 形成稳定 source capsule。,memory 只能导航，不能替代当前 source truth。,恢复时复用目标和 source anchors，重试成本、route 和风险可见。
